436	Am 25. Juni 1866 wurde er zum Titularbischof von „Nisa in Lycia” und zum Bischof von Velletri ernannt.	On June 25, 1866, he was appointed titular bishop of ``Nisa in Lycia, and the Bishop of Velletri.	On June 25, 1866 he was nominated Titular Bishop of "Nisa in Lycia" and Bishop of Velletri.	He was appointed as titular bishop of ``Nisa in Lycia ''and auxiliary bishop of Velletri on 25 June 1866.	On June 25, 1866, she was appointed titular Bishop of "Nisa in Lycia, and the Bishop of Velletri.	On June 25, 1866 she was nominated titular Bishop of "Nisa in Lycia "and Bishop of Velletri.
418	1960 wurde er Achter und 1968 Zehnter, das waren seine besten Platzierungen in dem Wettkampf.	His best positions in the competition were eighth in 1960, and in 1968 tenth.	He finished eighth in 1960 and tenth in 1968, his best finishes in the competition.	His best positions in competition were eighth in 1960 and tenth in 1968.	Her best positions in the competition were eighth in 1960, and in 1968 tenth.	She finished eighth in 1960 and tenth in 1968, her best finishes in the competition.
5874	Nach den 1970er Jahren verlegte er sich auf scheinbar traditionelle Landschaften und dekonstuierte die Konventionen der romantischen Malerei.	After the mid 1970s, he turned to seemingly traditional landscapes and deconstructed the conventions of romantic painting.	After the 1970s he shifted to seemingly traditional landscapes and deconstructed the conventions of Romantic painting.	After the mid 1970s he turned to seemingly traditional landscapes, deconstructing the conventions of romantic painting.	After the mid 1970s, she turned to seemingly traditional landscapes and Deconstructed the conventions of romantic painting.	After the 1970s she shifted to seemingly traditional landscapes and Deconstructed the conventions of romantic painting.
7191	Zum Strafverfolger wurde er 1824 in Williams County, 1826 in Seneca County und 1827 in Sandusky County ernannt.	He was appointed accuser attorney in 1824 for Williams County, 1826 for Seneca County, and Sandusky County in 1827.	He was appointed prosecutor in 1824 in Williams County, 1826 in Seneca County and 1827 in Sandusky County.	He was appointed prosecuting attorney for Williams County in 1824, for Seneca County in 1826 and for Sandusky County in 1827.	She was appointed Accuser attorney in 1824 for Williams County, 1826 for Seneca County, and SANDUSKY county in 1827.	She was appointed Prosecutor in 1824 in Williams County, 1826 in Seneca County and 1827 in SANDUSKY County.
3698	Schliemann erkannte fünf Schächte und legte sie  als das von Pausanias erwähnte Grab frei.	Schliemann recognized five shafts and cleared them as the graves mentioned by Pausanias.	Schliemann identified five shafts and uncovered them as the tomb mentioned by Pausanias.	Schliemann detected five shafts and cleared them as the graves mentioned by Pausanias.	Schliemann recognized five shafts and cleared us as the graves mentioned by Pausanias.	Schliemann identified five shafts and uncovered us as the tomb mentioned by Pausanias.
6583	Er erhält zusammen mit Lucas (Martin Hansen) das renommierte Carnegie Mathematik-Stipendium.	He is co-recipient of the renowned Carnegie Scholarship for Mathematics with Lucas (Martin Hansen).	Together with Lucas (Martin Hansen), he receives the renowned Carnegie mathematics scholarship.	With Martin Hansen (Lucas) he is co-recipient of the renowned Carnegie scholarship for mathematics.	She is Co-Recipient of the renowned Carnegie scholarship for mathematics with Lucas (Martin Hansen).	Together with Lucas (Martin Hansen), she receives the renowned Carnegie mathematics scholarship.
5940	Als Komponist an der französischen Schule leistete er außergewöhnliche Beiträge zur impressionistischen Kirchenmusik als Dirigent.	As a small composer in the French school, he made outstanding contributions to Impressionist church music as a conductor.	A composer at the French School, he made exceptional contributions to impressionist sacred music as a conductor.	A minor composer in the French school, as a conductor he made outstanding contributions to Impressionist church music.	As a small composer in the French school, she made outstanding contributions to impressionist church music as a conductor.	A composer at the French school, she made exceptional contributions to impressionist sacred music as a conductor.
7637	Die Ausnahme bildete die Zeit zwischen Ende 2005 und 2009, als er in Schweden bei Carlstad United BK, in Serbien bei FC Terek Grozny und dem russischen FK Borac Čačak spielte.	The exception was between late 2005 and 2009, when he played in Sweden with Carlstad United BK, Serbia with FC Terek Grozny and the Russian FK Borac Čačak.	The exception was between late 2005 and 2009, when he played for Carlstad United BK in Sweden, FC Terek Grozny in Serbia and FK Borac Čačak of Russia.	The exception was between late 2005 and 2009, when he played in Sweden with Carlstad United BK, Serbia with FC Terek Grozny and Russian FK Borac Čačak.	The exception was between late 2005 and 2009, when she played in Sweden with Carlstad United BK, Serbia with FC Terek Grozny and the Russian Fk Borac Čačak.	The exception was between late 2005 and 2009, when she played for Carlstad United BK in Sweden, FC Terek Grozny in Serbia and Fk Borac Čačak of Russia.
2315	1924 war er geladener Redner der ICM in Toronto, 1932 in Oslo und 1936 in Zürich.	In 1924 he was an invited spokesman for the ICM in Toronto, in Oslo in 1932 and in 1936 in Zurich.	In 1924 he was an invited speaker at the ICM in Toronto, in 1932 in Oslo and in 1936 in Zurich.	He was an Invited Speaker of the ICM in Toronto in 1924, in 1932 in Oslo, and in 1936 in Zurich.	In 1924 she was an invited spokesman for the Icm in Toronto, in Oslo in 1932 and in 1936 in Zurich.	In 1924 she was an invited Speaker at the Icm in Toronto, in 1932 in Oslo and in 1936 in Zurich.
3151	1938 wurde er der erste Regierungsanthropologe des englisch-ägyptischen Sudans und führte Feldforschungen mit den Nuba durch.	In 1938 he became the Government Anthropologist of the Anglo-Egyptian Sudan and conducted fieldwork with the Nuba.	In 1938 he became the first government anthropologist of Anglo-Egyptian Sudan and conducted field research with the Nuba.	In 1938 he became anthropologist of the anglo-Egyptian Sudan to the government and led fieldwork with the Nuba.	In 1938 she became the government anthropologist of the Anglo-Egyptian Sudan and conducted fieldwork with the Nuba.	In 1938 she became the first government anthropologist of Anglo-Egyptian Sudan and conducted field research with the Nuba.
7200	1937 wurde Donald Miteigentümer der Baseballmannschaft Toronto Maple Leafs, sein Sohn Ross wurde Vereinspräsident.	In 1937, Donald became co-owner of the baseball team of Toronto Maple Leafs, his son Ross became club president.	In 1937 Donald became co-owner of the Toronto Maple Leafs baseball team, and his son Ross became club president.	In 1937, Donald became co-owner of the Toronto Maple Leafs baseball team. His son, Ross became club president.	In 1937, Donald became co-owner of the baseball team of Toronto Maple Leafs, her son Ross became Club President.	In 1937 Donald became co-owner of the Toronto Maple Leafs baseball team, and her son Ross became Club President.
4074	1960 kandidierten John T. Driscoll und Patrick F. McDonough für den Posten des „Treasurer and Receiver - General of Massachusetts“; er wurde bei den demokratischen Vorwahlen Dritter hinter Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver - General of Massachusetts, he was third in the democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for the post of Treasurer and Receiver - General of Massachusetts; he finished third behind Kennedy in the Democratic primary.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver-General of Massachusetts. He finished third in the Democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for treasurer and receiver - general of Massachusetts, she was third in the Democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for the post of treasurer and receiver - general of Massachusetts; She finished third behind Kennedy in the Democratic primary.
7288	Maritsa Lazari wurde im Oktober 1943 in London, UK, geboren. Sie migrierte 16-jährig mit ihrer Familie nach Zypern.	Maritsa Lazari was born in October 1943 in London, UK. She emigrated with her family to Cyprus at the age of 16.	Maritsa Lazari was born in October 1943 in London, UK. She migrated to Cyprus with her family when she was 16.	Maritsa Lazari was born in London in October 1943 and emigrated with her family to Cyprus at the age of 16 years.	Maritsa Lazari was born in October 1943 in London, UK . He emigrated with her family to Cyprus at the age of 16.	Maritsa Lazari was born in October 1943 in London, UK . He migrated to Cyprus with her family when he was 16.
132	Er wurde in Carter County, Tennessee, geboren und wurde später nach Arkansas versetzt.	He was born in Carter County, Tennessee and was later moved to Arkansas.	He was born in Carter County, Tennessee and was later posted to Arkansas.	He was born in Carter County, Tennessee and later moved to Arkansas.	She was born in Carter County, Tennessee and was later moved to Arkansas.	She was born in Carter County, Tennessee and was later posted to Arkansas.
7213	David I. Walsh's jüngster Biograf schreibt, dass „die Kampagne zur Vernichtung von Walsh funktionierte, da er sich nicht wehren konnte... Davìd I. Walsh war schwul.“	David I. Walsh's most recent biographer writes that ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay. ''	David I. Walsh's most recent biographer writes that "the campaign to destroy Walsh worked because he couldn't fight back... Davìd I. Walsh was gay."	The recent biographer of David I. Walsh writes: ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay.	David I. Walsh's most recent biographer writes that "the campaign to destroy Walsh worked because she could not defend herself...David I. Walsh was gay . "	David I. Walsh's most recent biographer writes that "the campaign to destroy Walsh worked because she couldn't fight back...Davìd I. Walsh was gay . "
5804	Nach der Hochzeit in seiner Heimatstadt Sakarya flog das Paar nach Barcelona, Spanien.	After the wedding in his hometown Sakarya the couple flew to Barcelona, Spain.	After the wedding in his hometown of Sakarya, the couple flew to Barcelona, ​​Spain.	After the wedding ceremony in his hometown Sakarya, the couple flew to Barcelona, Spain.	After the wedding in her hometown Sakarya the couple flew to Barcelona, Spain.	After the wedding in her hometown of Sakarya, the couple flew to Barcelona, ​​Spain.
3195	Er war der Sohn von Richard Byfields zweiter Ehefrau und Nicholas Byfield war sein älterer Halbbruder.	He was a son of Richard Byfield by his second wife, and Nicholas Byfield was his elder half-brother.	He was the son of Richard Byfield's second wife and Nicholas Byfield was his older half brother.	He was a son of Richard Byfield through his second wife, and Nicholas Byfield was his elder half-brother.	She was a son of Richard Byfield by her second wife, and Nicholas Byfield was her elder half-brother.	She was the son of Richard Byfield's second wife and Nicholas Byfield was her older half brother.
2094	Er arbeitet zusammen mit zeitgenössischen Architekten wie etwa Francesco Grimaldi, Bartolomeo Picchiatti und Giovan Giacomo Di Conforto.	He collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborates with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	She collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	She Collaborates with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.
4977	McMillan verbrachte zwei Jahre in dem Royal Medical Corp. in Didcot - und später in Tidworth, wo er ein MRS für im Koreakrieg verletzte Soldaten betrieb.	McMillan spent two years in the Royal Medical Corp. at Didcot -- and later at Tidworth, where he ran an MRS for soldiers injured in the Korean War.	McMillan spent two years in the Royal Medical Corp. at Didcot - and later at Tidworth, where he ran an MRS for soldiers injured in the Korean War.	For two years, McMillan spent at the Royal Medical Corp. in Didcot -- and later in Tidworth, where he run an MRS for soldiers injured in the Korean War.	Mcmillan spent two years in the Royal medical Corp. at Didcot--and later at Tidworth, where she ran an Mrs for soldiers injured in the Korean war.	Mcmillan spent two years in the Royal medical Corp. at Didcot - and later at Tidworth, where she ran an Mrs for soldiers injured in the Korean war.
6159	Als Zeichen des Respekts stützen Menschen ihren linken Unterarm auf ihre rechte Hand.	In order to show respect, the individuals support their left forearms with their right hand.	As a sign of respect, people rest their left forearm on their right hand.	In order to show respect, individuals support their left forearms with their right hand.	In order to show respect, the individuals support our left forearms with our right hand.	As a sign of respect, people rest our left forearm on our right hand.
2859	Sie haben 13 Rückengräten, 11 bis 13 weiche Rückengräten, 2 Schwanzgräten und 11 bis 13 weiche Schwanzgräten.	They have 13 dorsal spines, 11 to 13 dorsale soft rays, 2 anal spines and 11 to 13 anal soft rays.	They have 13 dorsal bones, 11 to 13 soft dorsal bones, 2 caudal bones and 11 to 13 soft caudal bones.	They have 13 dorsal spines, 11 to 13 dorsal soft rays, 2 anal spines, and 11 to 13 anal soft rays.	We have 13 Dorsal Spines, 11 to 13 Dorsale soft rays, 2 Anal Spines and 11 to 13 Anal soft rays.	We have 13 Dorsal bones, 11 to 13 soft Dorsal bones, 2 Caudal bones and 11 to 13 soft Caudal bones.
7937	Sie wurde als „großes Talent mit viel Potential und einer vielversprechenden Musical-Karriere beschrieben.	She was observed as ''has a very great potential and great talent and will grow in the future to a unique musical personality.	She has been described as "a great talent with a lot of potential and a promising musical career.	She was observed as ``has a very huge potential and a great talent, and will grow to an unique musical personality in future. ''	He was observed as "has a very great potential and great talent and will grow in the future to a unique musical personality.	He has been described as "a great talent with a lot of potential and a promising musical career.
4307	William Harris war der zweite Sohn von William Harris, sein älterer Bruder Christopher Harris war Abgeordneter für Okehampton.	William Harris was the second son of William Harris, his elder brother Christopher Harris was MP for Okehampton.	William Harris was the second son of William Harris, his older brother Christopher Harris was an MP for Okehampton.	Harris was the second son of William Harris. His elder brother, Christopher Harris, was MP for Okehampton.	William Harris was the second son of William Harris, her elder brother Christopher Harris was MP for Okehampton.	William Harris was the second son of William Harris, her older brother Christopher Harris was an MP for Okehampton.
1728	Er ist der Halbbruder von Lord Clarence Paget, Lord Alfred Paget und Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	He was the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	She is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	She is the half brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.
4699	Er wurde als nachgeborenes Kind von Sir Henry Thrale, 1. Baron geboren. Seine Mutter war die Schwester des Brauers John Lade.	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was born the second child of Sir Henry Thrale, 1st Baron. His mother was the sister of the brewer John Lade.	He was the posthumous child of Sir Henry Thrale, 1st Baronet, his mother was the sister of the brewer John Lade.	She was born the posthumous child of Sir Henry Thrale, 1ST Baronet; her mother was the sister of the brewer John Lade.	She was born the second child of Sir Henry Thrale, 1ST Baron . her mother was the sister of the brewer John Lade.
3132	Im Jahr 2012 veröffentlichte Adrian Belew sein sechstes Soloalbum „Treehouse“, das in Nashville, Tennessee, vom Musiker Ned Evett produziert wurde.	In 2012, Adrian Belew released ``Treehouse '', his sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Adrian Belew released his sixth solo album, Treehouse, which was produced in Nashville, Tennessee by musician Ned Evett.	In 2012, Adrian Belew ``Treehouse ''released his sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Adrian Belew released "Treehouse ", her sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Adrian Belew released her sixth solo album, Treehouse, which was produced in Nashville, Tennessee by musician Ned Evett.
138	1876 zog er nach San Diego, Kalifornien, und 1887 nach Dallas, Texas.	In 1876, he moved to San Diego, California, and in 1887 to Dallas, Texas.	In 1876 he moved to San Diego, California and in 1887 to Dallas, Texas.	He moved to San Diego, California in 1876, and to Dallas, Texas in 1887.	In 1876, she moved to San Diego, California, and in 1887 to Dallas, Texas.	In 1876 she moved to San Diego, California and in 1887 to Dallas, Texas.
7888	Im Wettstreit mit Jarno Jokihaara und Marko Ritola wurde er 1999 und 2003 finnischer Meister. 2003 wurde er zudem Hallenmeister.	He became Finnish champion in 1999 and 2003, rivalling with Jarno Jokihaara and Marko Ritola. He also became indoor champion in 2003.	In competition with Jarno Jokihaara and Marko Ritola he was Finnish champion in 1999 and 2003. In 2003 he also became indoor champion.	In 1999 and 2003 he became Finnish master, with Jarno Jokihaara and Marko Ritola, in 2003 he became Indoor - Champion.	She became Finnish champion in 1999 and 2003, rivalling with Jarno Jokihaara and Marko Ritola . She also became indoor champion in 2003.	In competition with Jarno Jokihaara and Marko Ritola she was Finnish champion in 1999 and 2003 . In 2003 she also became indoor champion.
6125	Alfaro war die dritte Frau, die zum Tod in der Gaskammer verurteilt wurde, und zur Zeit ihrer Verurteilung war sie die erste zum Tode verurteilte Frau in Kalifornien.	Alfaro was the third woman sentenced to death in the gas chamber and, at the time of her sentencing, she was the first woman on death row in California.	Alfaro was the third woman to be sentenced to death in the gas chamber, and at the time of her sentencing she was the first woman sentenced to death in California.	Alfaro was the third woman sentenced to death in the gas chamber, and at the time of sentencing, was the first woman on death row in California.	Alfaro was the third woman sentenced to death in the gas chamber and, at the time of her sentencing, he was the first woman on death row in California.	Alfaro was the third woman to be sentenced to death in the gas Chamber, and at the time of her sentencing he was the first woman sentenced to death in California.
2546	Leslie Waddington eröffnete 1966 seine eigene Galerie in der Cork Street in London. Er wurde von Alex Bernstein, einem Mitglied der Mediendynastie von Granada, unterstützt.	In 1966, he started his own gallery at Cork Street in London, Leslie Waddington had the support of Alex Bernstein, a member of the media dynasty Granada.	Leslie Waddington opened his own gallery on Cork Street, London in 1966. He was assisted by Alex Bernstein, a member of Granada's media dynasty.	In 1966, started his own gallery in London's Cork Street, Leslie Waddington had the backing of Alex Bernstein, a member of the Granada media dynasty.	In 1966, she started her own gallery at cork street in London, Leslie Waddington had the support of Alex Bernstein, a member of the media dynasty Granada.	Leslie Waddington opened her own Gallery on cork street, London in 1966 . She was assisted by Alex Bernstein, a member of Granada's media dynasty.
3975	Seine Kinder waren Carolyn und Cynthia (1970 verstorben), Brennan, Matt Pelosi, Laurence (1971 geboren) und Andrew (1981 geboren).	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born in 1981).	His children were Carolyn and Cynthia (deceased 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born 1981).	His children were Carolyn and Cynthia (died 1970), Brennan, Matt Pelosi, Laurence (born 1971) and Andrew (born 1981).	Her children were Carolyn and Cynthia (died 1970), Brennan, matt Pelosi, Laurence (born 1971) and Andrew (born in 1981).	Her children were Carolyn and Cynthia (deceased 1970), Brennan, matt Pelosi, Laurence (born 1971) and Andrew (born 1981).
1479	Er war das nachgeborene Kind von Sir Henry Thrale, 1. Baronet; seine Mutter war die Schwester des Brauers John Lade.	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was the second-born of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was born as a child of Sir Henry Thrale, 1st Baronet, his mother was the sister of the brewer John Lade.	She was born the posthumous child of Sir Henry Thrale, 1ST Baronet; her mother was the sister of the brewer John Lade.	She was the Second-Born of Sir Henry Thrale, 1ST Baronet; her mother was the sister of the brewer John Lade.
5503	Im Juli 2016 trat sie als Joseph Conrad in „The Secret Agent“ auf, basierend auf dem gleichnamigen Roman von Winnie Verloc.	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the same novel by Winnie Verloc.	In July 2016, she appeared as Joseph Conrad in The Secret Agent, based on the Winnie Verloc novel of the same name.	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the eponymous novel by Winnie Verloc.	In July 2016, he appeared as Joseph Conrad in "the secret agent ", based on the same novel by Winnie Verloc.	In July 2016, he appeared as Joseph Conrad in the secret agent, based on the Winnie Verloc novel of the same name.
4515	Sie wurde Mutter von Val, Boris und Rosalind Lorwin, ihre Tochter war Professorin für Psychologie.	She became the mother of Val, Boris and Rosalind Lorwin, her daughter was professor of psychology.	She became the mother of Val, Boris and Rosalind Lorwin, her daughter was a professor of psychology.	She became the mother of Val, Boris and Rosalind Lorwin. Her daughter was a psychology professor.	He became the mother of Val, Boris and Rosalind Lorwin, her daughter was professor of psychology.	He became the mother of Val, Boris and Rosalind Lorwin, her daughter was a professor of psychology.
3380	Megan Ellison wurde in Santa Clara County, Kalifornien als Tochter des Milliardärs und Vorsitzenden der Oracle Corporation Larry Ellison und seiner Ex-Frau Barbara Boothe Ellison geboren.	Megan Ellison was born in Santa Clara County, California as the daughter of the billionaire Oracle Corporation - Chairman Larry Ellison and his Ex - Wife Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California to billionaire Oracle Corporation President Larry Ellison and his ex-wife Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California, the daughter of billionaire Oracle Corporation chairman Larry Ellison and his ex-wife, Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California as the daughter of the billionaire Oracle corporation - chairman Larry Ellison and her ex - wife Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California to billionaire Oracle corporation President Larry Ellison and her Ex-Wife Barbara Boothe Ellison.
4035	In seinem Berliner Arbeitszimmer hingen drei Figuren an der Wand: Schopenhauer, Maxwell und Faraday.	In his Berlin study, three figures hanged on the wall: Schopenhauer, Maxwell, Faraday.	Three figures hung on the wall in his Berlin study: Schopenhauer, Maxwell and Faraday.	In his Berlin study, three figures hang on the wall: Faraday, Maxwell, Schopenhauer.	In her Berlin study, three figures hanged on the wall: Schopenhauer, Maxwell, Faraday.	Three figures hung on the wall in her Berlin study: Schopenhauer, Maxwell and Faraday.
2013	Er verstarb am 19. September 1891 in Gallatin in Tennessee, und erhielt einen Freimaurer in Gallatin.	He died on 19 September 1891 in Gallatin, Tennessee, and received a Masonic in Gallatin.	He died September 19, 1891 in Gallatin, Tennessee, and received a Mason degree in Gallatin.	Bunting died on September 19, 1891 in Gallatin, Tennessee. He received a Masonic funeral in Gallatin.	She died on 19 September 1891 in Gallatin, Tennessee, and received a Masonic in Gallatin.	She died September 19, 1891 in Gallatin, Tennessee, and received a Mason degree in Gallatin.
7581	Sein erster Auftritt als Glockner in der Folge wurde am 22. Februar 2013 ausgestrahlt.	His first screen appearance as Glockner during the episode was broadcast on 22 February 2013.	His first appearance as Glockner in the episode aired on February 22, 2013.	Mason made his first screen appearance as Glockner during the episode broadcast on 22 February, 2013.	Her first screen appearance as Glockner during the episode was broadcast on 22 February 2013.	Her first appearance as Glockner in the episode aired on February 22, 2013.
2248	Die Nationen Mazedonien, Kenia, Azerbaijan, Uruguay und Venezuela nahmen an ihren ersten olympischen Winterspielen teil.	The nations Macedonia, Kenya, Azerbaijan, Uruguay and Venezuela participated in their first Winter Olympic Games.	The nations of Macedonia, Kenya, Azerbaijan, Uruguay and Venezuela took part in their first Winter Olympics.	The nations of Azerbaijan, Kenya, Macedonia, Uruguay and Venezuela participated in their first Olympic Winter Games.	The nations Macedonia, Kenya, Azerbaijan, Uruguay and Venezuela participated in our first winter Olympic games.	The nations of Macedonia, Kenya, Azerbaijan, Uruguay and Venezuela took part in our first winter Olympics.
5944	Als Platzer 1993 sein zweites Restaurant in Allentown eröffnete, änderte er den Namen in Gedenken an seinen Großvater Peter Joseph Whelihan zu „P.J. Whelihan's”.	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's to honor his grandfather, Peter Joseph Whelihan.	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P.J. Whelihan's”.	In 1993, when Platzer opened his second restaurant in Allentown, he changed the name to P. J. Whelihan's in honor of his grandfather, Peter Joseph Whelihan.	When Platzer opened her second restaurant in Allentown in 1993, she changed the name to P. J. Whelihan's to honor her grandfather, Peter Joseph Whelihan.	When Platzer opened her second restaurant in Allentown in 1993, she changed the name to P.J . Whelihan's ”.
7394	Die meisten von ihnen leben heute in Griechenland und einige noch in Bulgarien.	Today, the majority of them do live in Greece, with some still in Bulgaria.	Most of them now live in Greece and some still in Bulgaria.	The majority of them live today in Greece, some still in Bulgaria.	Today, the majority of us do live in Greece, with some still in Bulgaria.	Most of us now live in Greece and some still in Bulgaria.
4289	Sie ist die Witwe von Jake Paltrow und die Mutter von Schauspielerin Gwyneth Paltrow und Regisseur Bruce Paltrow.	She is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.	He is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Bruce Paltrow.	He is the widow of Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.
4927	Nach der Rückkehr nach Paramaribo 1954 ließ er sich in Surinam als Anwalt nieder.	After returning to Paramaribo in 1954, he settled in Surinam as a lawyer.	After returning to Paramaribo in 1954, he settled in Suriname as a lawyer.	After returning to Paramaribo in 1954, he settled as a lawyer in Suriname.	After returning to Paramaribo in 1954, she settled in Surinam as a lawyer.	After returning to Paramaribo in 1954, she settled in Suriname as a lawyer.
1081	1999 und 2003 wurde er mit Jarno Jokihaara und Marko Ritola Hallenmeister, 2003 wurde er finnischer Meister.	In 1999 and 2003 he became an indoor champion, with Jarno Jokihaara and Marko Ritola, in 2003 he became Finnish champion.	In 1999 and 2003 he became indoor champion with Jarno Jokihaara and Marko Ritola, and in 2003 he became Finnish champion.	He became indoor champion in 1999 and 2003, rivalling with Jarno Jokihaara and Marko Ritola. He also became Finnish champion in 2003.	In 1999 and 2003 she became an indoor champion, with Jarno Jokihaara and Marko Ritola, in 2003 she became Finnish champion.	In 1999 and 2003 she became indoor champion with Jarno Jokihaara and Marko Ritola, and in 2003 she became Finnish champion.
3438	Chandler betrachtete den Computer als Lerninstrument, aber er lehnte den vorherrschenden Objektivismus ab, der Daten zu Informationen und Informationen zu Wissen erhob.	Chandler regarded the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information and information as knowledge.	Chandler viewed the computer as a learning tool, but he rejected the prevailing objectivism that elevated data to information and information to knowledge.	Chandler considered the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information, and information as knowledge.	Chandler regarded the computer as a tool for learning, but she rejected a prevailing Objectivism that recognized data as information and information as knowledge.	Chandler viewed the computer as a learning tool, but she rejected the prevailing Objectivism that elevated data to information and information to knowledge.
5286	Während seiner Wahlkampagne debattierte er zweimal mit McCain, einmal in Tucson und einmal in Flagstaff.	During his election campaign, he twice debated McCain, once in Tucson, and once in Flagstaff.	During his campaign, he debated with McCain twice, once in Tucson and once in Flagstaff.	During his campaign, he debated McCain twice, once in the flagstaff, and once in Tucson.	During her election campaign, she twice debated McCain, once in Tucson, and once in Flagstaff.	During her campaign, she debated with McCain twice, once in Tucson and once in Flagstaff.
2137	Jools Holland und McEwen wurden 1995 geschieden, danach heiratete sie den Musiker Ned Lambton .	Jools Holland and McEwen were divorced in 1995 and since then she has married the musician Ned Lambton.	Jools Holland and McEwen divorced in 1995, after which she married musician Ned Lambton.	Jools Holland and McEwen divorced in 1995. She has since married the musician, Ned Lambton.	Jools Holland and Mcewen were divorced in 1995 and since then he has married the musician Ned Lambton.	Jools Holland and Mcewen divorced in 1995, after which he married musician Ned Lambton.
2341	Zu Beginn der Staffel war er zusammen mit Howard, Jeremy, McCrae und Nick Teil des „Moving Company“-Bündnisses.	Early in the season, he was part of the ``Moving Company ''alliance, along with Howard, Jeremy, McCrae, and Nick.	At the start of the season he was part of the Moving Company alliance along with Howard, Jeremy, McCrae and Nick.	Together with Nick, Jeremy, McCrae and Howard he was part of the ``Moving Company ''Alliance early in the season.	Early in the season, she was part of the "moving company "alliance, along with Howard, Jeremy, McCrae, and Nick.	At the start of the season she was part of the moving company alliance along with Howard, Jeremy, McCrae and Nick.
4935	Mit den Labels Kapp und MCA hatte Cher in den Siebzigern am meisten Erfolg und sie blieb bis 1974 bei ihnen.	Kapp and MCA were the labels that Cher had more success with in the seventies and remained with them until 1974.	Cher had the most success with the Kapp and MCA labels in the 1970s and stayed with them until 1974.	Kapp and MCA were the labels with which Cher had more success in the seventies and she remained with them until 1974.	Kapp and MCA were the labels that Cher had more success with in the seventies and remained with us until 1974.	Cher had the most success with the Kapp and MCA labels in the 1970s and stayed with us until 1974.
