2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 32 was the 30th season of the National Basketball Association .
16365	none	These background areas included the state of California , 4 zones in New York City , Las Vegas NV , and a 300-mile radius around Hawaii .	none	These background zones included the state of California , 4 zones in New York City , Las Vegas NV , and a 300-mile radius around Hawaii .	These background areas included the state of California , 1 zones in New York City , Las Vegas NV , and a 300-mile radius around Hawaii .
16458	none	The boat has a PHRF racing average handicap of 183 with a high of 198 and low of 180 .	none	The boat has an average handicap of 183 with a high of 198 and a low of 180 .	The boat has a PHRF racing average handicap of 126 with a high of 476 and low of 621 .
16508	none	With the help of Chad Kroeger of Nickelback , Kroeger signed to Thornley 's 604 Records .	none	Kroeger Thornley signed 604 Records with the help of Chad Kroeger of Nickelback .	With the help of Chad Kroeger of Nickelback , Kroeger signed to Thornley 's 856 Records .
16516	none	In the week before the incident with Leicester fans , 13 men were arrested following clashes between fans from Coventry and Norwich , in which some men suffered minor injuries .	none	The week before the incident with Leicester fans , 13 men were arrested after clashes between fans from Coventry and Norwich in which some men sustained minor injuries .	In the week before the incident with Leicester fans , 89 men were arrested following clashes between fans from Coventry and Norwich , in which some men suffered minor injuries .
16551	none	Another new bridge was built at Phnom Penh on the Neak Leung to Ho Chi Minh Highway 1 with Japanese government assistance , and opened in 2015 .	none	Another new bridge was built at Phnom Penh at Neak Leung to Ho - Chi - Minh - Highway 1 with support from the Japanese government and opened in 2015 .	Another new bridge was built at Phnom Penh on the Neak Leung to Ho Chi Minh Highway 5 with Japanese government assistance , and opened in 2015 .
16591	none	East of Petersville , US 340 has a diamond interchange with MD 180 and crosses Catoctin Creek .	none	The US 340 has a diamond exchange with MD 180 and crosses Catoctin Creek east of Petersville .	East of Petersville , US 983 has a diamond interchange with MD 836 and crosses Catoctin Creek .
16601	none	A total of 16 teams qualified but only 13 teams participated in the finals of the Olympic tournament .	none	A total of 16 teams qualified , but only 13 teams participated in the final round of the Olympic tournament .	A total of 94 teams qualified but only 18 teams participated in the finals of the Olympic tournament .
16614	none	Specified equivalent focal lengths of 35 mm typically ignore the depth of field ( DOF ) , which depends both on focal length and aperture .	none	Quoted 35 mm equivalent focal lengths typically ignore depth of field ( DOF ) , which depends on both focal length and aperture .	Specified equivalent focal lengths of 49 mm typically ignore the depth of field ( DOF ) , which depends both on focal length and aperture .
16653	none	At least four disks are used in a standard RAID 01 configuration , but larger arrays are also required .	none	In a standard - RAID - 01 - configuration , at least four disks are used , however larger arrays are also required .	At least four disks are used in a standard RAID 41 configuration , but larger arrays are also required .
16663	none	Maval is a taluka part of the Pune District in the state of Maharashtra India , it is 85 km from Mumbai and 54 km from Pune .	none	Maval is a Taluka part of the Pune District in the state of Maharashtra India , It is located 85 km from Mumbai and 54 km from Pune .	Maval is a taluka part of the Pune District in the state of Maharashtra India , it is 52 km from Mumbai and 76 km from Pune .
16676	none	Cape Carteret is located in the western Carteret County ( 34.694478 , -77.059129 ) .	none	Cape Carteret is located in western Carteret County at ( 34.694478 , -77.059129 ) .	Cape Carteret is located in the western Carteret County ( 76.374286 , -77.059129 ) .
16699	none	Vera Zvonareva won the title by beating Caroline Wozniacki in the final with 6 -- 3 , 3 -- 6 , 6 -- 3 .	none	Vera Zvonareva won the title by beating Caroline Wozniacki in the final 6 -- 3 , 3 -- 6 , 6 -- 3 .	Vera Zvonareva won the title by beating Caroline Wozniacki in the final with 4 -- 1 , 6 -- 8 , 8 -- 2 .
16728	none	It runs from east to west for , serving 7 counties : Claiborne , Copiah , Hinds , Rankin , Clarke , Jasper , and Smith .	none	It runs from east to west for and serves 7 counties : Claiborne , Copiah , Hinds , Rankin , Clarke , Jasper and Smith .	It runs from east to west for , serving 6 counties : Claiborne , Copiah , Hinds , Rankin , Clarke , Jasper , and Smith .
16739	none	The total production 483,593 units , was narrowly beaten by its predecessor , the 9000 , of which 503,000 were built .	none	The total production of 483,593 units was narrowly beaten by the predecessor , the 9000 , of which 503,000 were built .	The total production 536,593 units , was narrowly beaten by its predecessor , the 9000 , of which 512,000 were built .
16784	none	The development of Bas 90 started in the 1970s and began being implemented in the 1980s .	none	The development of Bas 90 started in the 1970s and was implemented in the 1980s .	The development of Bas 95 started in the 1970s and began being implemented in the 1980s .
16786	none	Pro-Russian troops opened fire on Ukrainian positions on 33 occasions , killing one civilian , two policemen and wounding three Ukrainian soldiers .	none	On 33 occasions , pro-Russian troops opened fire in Ukrainian positions , killing one civilian , two policemen , and wounding three Ukrainian soldiers .	Pro-Russian troops opened fire on Ukrainian positions on 54 occasions , killing one civilian , two policemen and wounding three Ukrainian soldiers .
16788	none	Woree is located next to Bruce Highway , from Brisbane to Woree via the Bruce Highway 1,677 km .	none	Woree is next to the Bruce Highway . From Brisbane to Woree is 1,677 km via the Bruce Highway .	Woree is located next to Bruce Highway , from Brisbane to Woree via the Bruce Highway 2,677 km .
16793	none	Dudi Sela won the title after defeating Thomas Fabbiano 4 -- 6 , 6 -- 4 , 6 -- 3 in the final .	none	Dudi Sela won the title after defeating Thomas Fabbiano in the final with 4 : 6 , 6 : 4 , 6 : 3 .	Dudi Sela won the title after defeating Thomas Fabbiano 8 -- 2 , 9 -- 8 , 3 -- 5 in the final .
16803	none	There are 4 playable characters , each with a different ability and a unique fighting style .	none	There are 4 playable characters , each with a different ability and also a unique fighting style .	There are 9 playable characters , each with a different ability and a unique fighting style .
16812	none	Especially services Tung Chung , New Territories and routes between the airport and Disneyland Resort , 19 routes with 165 buses .	none	Mainly services Tung Chung , New Territories and routes shuttling between the Airport and Disneyland Resort , operating 19 routes with 165 buses .	Especially services Tung Chung , New Territories and routes between the airport and Disneyland Resort , 21 routes with 493 buses .
16853	none	Five men died immediately , one was missing and 25 were wounded , two of whom later died .	none	Five men died instantly , one was missing , and 25 were wounded , two of whom died later .	Five men died immediately , one was missing and 93 were wounded , two of whom later died .
16858	none	mcen 092.2 gathered here have spoken you very clearly and you have not accused .	none	Here gathered mcen 092.2 you have spoken very clearly and you have not charged .	mcen 692.5 gathered here have spoken you very clearly and you have not accused .
16876	none	is approximately 10 miles southeast of Bloomington and 8 miles northeast of Harrodsburg at the crossing of W. Milton Road and S. Victor Pike .	none	Victor is approximately 10 miles southeast of Bloomington and 8 miles northeast of Harrodsburg at the junction of W. Milton Road and S. Victor Pike .	is approximately 41 miles southeast of Bloomington and 7 miles northeast of Harrodsburg at the crossing of W. Milton Road and S. Victor Pike .
16890	none	The season 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .	none	The 2015 -- 16 Rain or Shine Elasto Painters season is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .	The season 2015 -- 59 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .
16891	none	Mosquitor was designed by NECA as part of Series 6 of the " Masters of the Universe " series of ministatues released by Four Horsemen Studios .	none	Mosquitor was designed by NECA as part of the series 6 of the " Masters of the Universe " series of ministatues designed by Four Horsemen Studios .	Mosquitor was designed by NECA as part of Series 7 of the " Masters of the Universe " series of ministatues released by Four Horsemen Studios .
16923	none	He also appeared in 53 games for the Piedmont League ( Greensboro Patriots ) with a 26 - 19 record over the course of the seasons 1928 and 1929 .	none	He also appeared in 53 games for the Greensboro Patriots ( Piedmont League ) with a 26 -- 19 record over the course of the 1928 and 1929 seasons .	He also appeared in 52 games for the Piedmont League ( Greensboro Patriots ) with a 19 - 34 record over the course of the seasons 1928 and 1929 .
16944	none	From 2 June 1969 , lectures were held for the first 300 students , and at that time the academic workforce consisted of 28 local lecturers .	none	For the first batch of 300 students , lectures were held beginning from 2 June 1969 . At that time , the academic workforce consisted of 28 local lecturers .	From 2 June 1969 , lectures were held for the first 915 students , and at that time the academic workforce consisted of 35 local lecturers .
16979	none	It is 2 km northeast of Agios Stefanos and 20 km west of Athens city centre .	none	It is 2 km northeast of Agios Stefanos and 20 km west of Athens town centre .	It is 3 km northeast of Agios Stefanos and 38 km west of Athens city centre .
17006	none	He won a second term in office in 1994 , and in 1996 a third term with 63 % of the vote .	none	He won a second term in 1994 and a third term in 1996 with 63 % of the vote .	He won a second term in office in 1994 , and in 1996 a third term with 18 % of the vote .
17013	none	Dick Stockton defeated Arthur Ashe , 6 -- 3 , 6 - 2	none	Dick Stockton defeated Arthur Ashe , 6 -- 3 , 6 -- 2	Dick Stockton defeated Arthur Ashe , 5 -- 9 , 4 - 6
17033	none	For example , 351 W 5th Avenue is approximately west of Fifth Avenue on the south side of High Street .	none	For example , 351 W 5th Avenue is just west of Fifth Avenue on the south side of High Street .	For example , 247 W 5th Avenue is approximately west of Fifth Avenue on the south side of High Street .
17041	none	Binary fluorides of metalloids and p- block - nonmetals are generally hypervalent , with varying reactivities , period 3 and heavier non-metals can form covalent and volatile fluorides .	none	Binary fluorides of metalloids and p- block nonmetals are generally hypervalent , with varying reactivities . Period 3 and heavier nonmetals can form covalent and volatile fluorides .	Binary fluorides of metalloids and p- block - nonmetals are generally hypervalent , with varying reactivities , period 4 and heavier non-metals can form covalent and volatile fluorides .
17045	none	Wyoming Highway 377 was a short Wyoming state road in central Sweetwater County that served the community of Point of Rocks and the Jim Bridger Power Plant .	none	Wyoming Highway 377 was a short Wyoming State Road in central Sweetwater County that served as the community of Point of Rocks and the Jim Bridger Power Plant .	Wyoming Highway 398 was a short Wyoming state road in central Sweetwater County that served the community of Point of Rocks and the Jim Bridger Power Plant .
17051	none	The university is located in Sholinganallur about 15 kilometers from Chennai in Adyar .	none	The university is in Sholinganallur about 15 kilometers from Chennai in Adyar .	The university is located in Sholinganallur about 98 kilometers from Chennai in Adyar .
17088	none	Amy Frazier defeated Mary Joe Fernández 3 -- 6 , 6 -- 2 , 6 -- 3 .	none	Mary Frazier defeated Mary Joe Fernández with 3 -- 6 , 6 -- 2 , 6 -- 3 .	Amy Frazier defeated Mary Joe Fernández 5 -- 8 , 5 -- 4 , 4 -- 8 .
17099	none	The 2015 season -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .	none	The 2015 -- 16 Rain or Shine Elasto Painters season is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .	The 2015 season -- 83 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .
17101	none	In 2011 , LuxDev managed 115 projects and programmes and disbursed a total of 78,323,358 euros .	none	In 2011 LuxDev managed 115 projects and programmes and disbursed a total amount of 78,323,358 euros .	In 2011 , LuxDev managed 947 projects and programmes and disbursed a total of 78,323,358 euros .
17123	none	The 8 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	none	The 8 talukas of this district are Devgad , Kankavli , Vengurla , Kudal , Sawantwadi , Malvan and Dodamarg and Vaibhavwadi .	The 7 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .
17133	none	In the final , Herbert and Maxime Teixeira defeated Alessandro Giannessi and João Sousa 6 : 4 , 6 : 3 .	none	Pierre-Hugues Herbert and Maxime Teixeira defeated Alessandro Giannessi and João Sousa 6 -- 4 , 6 -- 3 in the final .	In the final , Herbert and Maxime Teixeira defeated Alessandro Giannessi and João Sousa 7 : 5 , 4 : 6 .
17140	none	Visitors also use water taxis to visit the cays for a day trip , and there are about 40 taxis in Mayreau and 5-10 in Union .	none	Visitors also use water taxis to visit the cays for a day trip , there are around 40 taxis in Mayreau and 5-10 in Union .	Visitors also use water taxis to visit the cays for a day trip , and there are about 58 taxis in Mayreau and 5-10 in Union .
17143	none	In March 2008 , Sophina participated in the Heart of a Champion Invitational as a Level 10 where she won the all-around title .	none	In March 2008 , Sophina participated as Level 10 at the Heart of a Champion Invitational , where she won the title .	In March 2008 , Sophina participated in the Heart of a Champion Invitational as a Level 37 where she won the all-around title .
17145	none	Psalm 96 ( biblical numbering : Psalm 95 ) is one of the psalms in the Greek Psalms Book .	none	Psalm 96 ( biblical numbering : Psalm 95 ) is one of the psalms in the Greek Book of Psalms .	Psalm 78 ( biblical numbering : Psalm 74 ) is one of the psalms in the Greek Psalms Book .
17149	none	Katerina Maleeva defeated Audra Celler 7 -- 6 , 6 -- 2 .	none	Katerina Maleeva defeated Audra Keller 7 -- 6 , 6 -- 2	Katerina Maleeva defeated Audra Celler 1 -- 5 , 9 -- 1 .
17159	none	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on 11 September 1866 and got 8 children .	none	Lorenzo Giuntini married Susannah Louisa Barnett on 11 September 1866 in Frome , Somerset and had 8 children .	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on 11 September 1866 and got 1 children .
17177	none	More than 5 species of rhizophoraceae grow in Australasia with particularly high biodiversity on the island of Australia and in northern New Guinea .	none	More than 5 species of Rhizophoraceae grow in Australasia with particularly high biodiversity on the island of Australia and northern New Guinea .	More than 7 species of rhizophoraceae grow in Australasia with particularly high biodiversity on the island of Australia and in northern New Guinea .
17187	none	The 1982 -- 83 National Basketball Association season was the 37th season of the NBA .	none	The season 1982 -- 83 National Basketball Association was the 37th season of NBA .	The 1982 -- 31 National Basketball Association season was the 37th season of the NBA .
17202	none	He made 396 performances in the Football League for Swindon Town , Plymouth Argyle , Crystal Palace and Torquay United , before moving with Cambridge City to the Non-League football .	none	He made 396 appearances in the Football League for Swindon Town , Plymouth Argyle , Crystal Palace and Torquay United , before moving into non-league football with Cambridge City .	He made 152 performances in the Football League for Swindon Town , Plymouth Argyle , Crystal Palace and Torquay United , before moving with Cambridge City to the Non-League football .
17238	none	Here is Formula 2 , the present variance , a time-dependent CIR process :	none	Here formula _ 2 , the instantaneous variance , is a time-dependent CIR process :	Here is Formula 1 , the present variance , a time-dependent CIR process :
17240	none	These groups are conjugated Tori of SO ( 4 ) , which in SO ( 4 ) are all maximal , see also Clifford - Torus .	none	These groups are conjugate tori of SO ( 4 ) , which are all mutually maximal in SO ( 4 ) . See also Clifford torus .	These groups are conjugated Tori of SO ( 5 ) , which in SO ( 6 ) are all maximal , see also Clifford - Torus .
17242	none	When Judge John Tyler died in 1813 , Tyler at the age of 23 inherited Greenway .	none	In 1813 , when Justice John Tyler died , Tyler inherited Greenway at the age of 23 .	When Judge John Tyler died in 1813 , Tyler at the age of 15 inherited Greenway .
17251	none	Gaines came to Ephraim Fletcher from New York in 1836 and settled in Van Vleet Road ( section 16 ) .	none	Gaines came to Ephraim Fletcher in 1836 from New York and settled in Van Vleet Road ( Section 16 ) .	Gaines came to Ephraim Fletcher from New York in 1836 and settled in Van Vleet Road ( section 72 ) .
17260	none	For example , the spin case only allows a magnetic dipole , but for spin 1 particles magnetic quadrupoles and electric dipoles are also possible .	none	For example , the spin case allows only one magnetic dipole , but for spin - 1 particles magnetic quadrupoles and electrical dipoles are also possible .	For example , the spin case only allows a magnetic dipole , but for spin 7 particles magnetic quadrupoles and electric dipoles are also possible .
17269	none	Thomas Fabbiano won the title after defeating Dudi Sela in the final with 4 : 6 , 6 : 4 , 6 : 3 .	none	Thomas Fabbiano won the title after defeating Dudi Sela 4 -- 6 , 6 -- 4 , 6 -- 3 in the final .	Thomas Fabbiano won the title after defeating Dudi Sela in the final with 7 : 4 , 4 : 3 , 8 : 7 .
17270	none	Alma Peter Crane and Connie Chandler have been nominated by the Independent Party of Utah , and Crane and Chandler received 1,101 votes .	none	The Independent Party of Utah nominated Alma Peter Crane and Connie Chandler . Crane and Chandler received 1,101 votes .	Alma Peter Crane and Connie Chandler have been nominated by the Independent Party of Utah , and Crane and Chandler received 6,101 votes .
17289	none	Notre Dame received half of the 7.6 million dollars that NBC paid each year for the rights of the deal , and its opponent received the other half .	none	Notre Dame got half of the $ 7.6 million that NBC paid for the rights each year of the deal and its opponent received the other half .	Notre Dame received half of the 8.9 million dollars that NBC paid each year for the rights of the deal , and its opponent received the other half .
17295	none	The first ever " Power stage " , a short televised 4.16 km live stage at the end of the rally , was held near the village of Gustavsfors .	none	The first " Power Stage " , a short live 4.16 km long stage at the end of the rally , was held near the village of Gustavsfors .	The first ever " Power stage " , a short televised 3.25 km live stage at the end of the rally , was held near the village of Gustavsfors .
17301	none	Russ killed at least 74 people in Hainan , Guangdong and Guangxi Provinces and injured another 726 people .	none	Russ has killed at least 74 people and injured another 726 people in the provinces of Hainan , Guangdong , and Guangxi .	Russ killed at least 82 people in Hainan , Guangdong and Guangxi Provinces and injured another 358 people .
17391	none	Byzantine Greeks of the Catholic Rite ( Uniates ) number approximately 6,000 nationwide and mostly live in Athens .	none	Byzantine Greeks of the Catholic Rite ( Uniates ) number nationwide about 6,000 and mostly live in Athens .	Byzantine Greeks of the Catholic Rite ( Uniates ) number approximately 4,000 nationwide and mostly live in Athens .
17405	none	The total production of 483,593 units was narrowly beaten by the predecessor , the 9000 , of which 503,000 were built .	none	The total production 483,593 units , were narrowly beaten by its predecessor , the 9000 , of which 503,000 was built .	The total production of 967,593 units was narrowly beaten by the predecessor , the 9000 , of which 769,000 were built .
17414	none	Alisa Kleybanova won 6 -- 3 , 6 -- 2 against Elena Dementieva in the finals .	none	Alisa Kleybanova won in the final 6 -- 3 , 6 -- 2 , against Elena Dementieva .	Alisa Kleybanova won 2 -- 6 , 8 -- 1 against Elena Dementieva in the finals .
17456	none	Houyan is a station on Line 3 of the Dalian Metro in Liaoning Province , China . It is located in the Ganjingzi District of Dalian City .	none	Houyan is a station on Dalian Metro line 3 in the province of Liaoning , China , in the Ganjingzi district of Dalian .	Houyan is a station on Line 2 of the Dalian Metro in Liaoning Province , China . It is located in the Ganjingzi District of Dalian City .
17467	none	At least four disks are required in a standard RAID 01 configuration , but larger arrays are also used .	none	At least four hard disks are required in a standard - RAID - 01 - configuration , but larger arrays are also used .	At least four disks are required in a standard RAID 39 configuration , but larger arrays are also used .
17498	none	Born in 1794 in Alpheton in Suffolk , William Debenham joined Thomas Clark in a partnership to manage a draper 's store at 44 Wigmore Street in London .	none	William Debenham , born in 1794 in Alpheton , Suffolk , joined Thomas Clark in a partnership to run a draper 's store at Wigmore Street 44 in London .	Born in 1794 in Alpheton in Suffolk , William Debenham joined Thomas Clark in a partnership to manage a draper 's store at 59 Wigmore Street in London .
17502	none	Among the Eligible CIS football players from Canadian universities as well as Canadian players playing in the NCAA , 48 players were selected for the Canadian Football League teams .	none	48 players were chosen for Canadian Football League teams from among the eligible CIS football players from Canadian universities , as well as Canadian players playing in the NCAA .	Among the Eligible CIS football players from Canadian universities as well as Canadian players playing in the NCAA , 34 players were selected for the Canadian Football League teams .
17505	none	According to the U.S. Census Bureau , the county has a total area , of which land and ( 17.6 % ) have water .	none	According to the U.S. Census Bureau , the county is a total area , of which is land and ( 17.6 % ) has water .	According to the U.S. Census Bureau , the county has a total area , of which land and ( 36.9 % ) have water .
17510	none	The SSSI has an area of 190.3 hectares , while the SAC has 168.3 hectares .	none	The SSSI covers an area of 190.3 hectares while the SAC has 168.3 hectares .	The SSSI has an area of 495.1 hectares , while the SAC has 945.8 hectares .
17529	none	In Lilongwe there are 38 public primary schools and 66 secondary schools with a total of 103,602 students , as well as 29 private schools with 30,795 students .	none	There are 38 public primary and 66 secondary schools with a total of 103,602 pupils as well as 29 private schools with 30,795 students in Lilongwe .	In Lilongwe there are 63 public primary schools and 78 secondary schools with a total of 847,602 students , as well as 87 private schools with 54,795 students .
17540	none	The temperature should be around 28 ° C during the day and should drop to about 20 ° C at night .	none	The temperature should be about 28 ° C during the day and drop to around 20 ° C at night .	The temperature should be around 75 ° C during the day and should drop to about 62 ° C at night .
17588	none	23 April 1975 : Derby County win the title after Ipswich Town can only draw 1 -- 1 with Manchester City .	none	April 23 , 1975 : Derby County title win after Ipswich Town with Manchester City can only draw 1 : 1 .	23 April 1975 : Derby County win the title after Ipswich Town can only draw 2 -- 3 with Manchester City .
17597	none	This is the location of the crossroads of the former U.S. Route 45 Alternate ( Church Street ) and Mississippi Highway 32 ( Monroe Avenue ) .	none	This is the location of the junction of former U.S. Route 45 Alternate ( Church Street ) and Mississippi Highway 32 ( Monroe Avenue ) .	This is the location of the crossroads of the former U.S. Route 48 Alternate ( Church Street ) and Mississippi Highway 93 ( Monroe Avenue ) .
17624	none	A codice 1 can not be deleted because its copy constructor and assignment operators are explicitly copied .	none	Codice 1 can not be deleted because its copy constructor and its assignment operators are explicitly copied .	A codice 8 can not be deleted because its copy constructor and assignment operators are explicitly copied .
17692	none	Leading Creek is located at ( 38.998829 , -82.057204 ) , along the Ohio River at the mouth of Middleport .	none	Leading Creek is located along the Ohio River at the mouth of Middleport ( 38.998829 , -82.057204 ) .	Leading Creek is located at ( 31.432518 , -82.057204 ) , along the Ohio River at the mouth of Middleport .
17696	none	He was among the leaders in inherited runners stranded with 51 .	none	He was stranded by 51 among the leaders in inherited runners .	He was among the leaders in inherited runners stranded with 68 .
17707	none	The manuscript was added by Gregor ( number 252 ) and Scrivener ( number 223 ) to the list of manuscripts of the New Testament .	none	The manuscript was added to the list of New Testament manuscripts by Gregory ( number 252 ) and Scrivener ( number 223 ) .	The manuscript was added by Gregor ( number 569 ) and Scrivener ( number 691 ) to the list of manuscripts of the New Testament .
17752	none	Susannah Louisa Barnett married Lorenzo Giuntini on 11 September 1866 in Frome , Somerset and had 8 children .	none	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on 11 September 1866 and got 8 children .	Susannah Louisa Barnett married Lorenzo Giuntini on 11 September 1866 in Frome , Somerset and had 5 children .
17756	none	In 2009 , the third Rapid Ride , the 777 Green Line , started from downtown to Tramway Boulevard .	none	In 2009 , the third Rapid Ride , the 777 Green Line , started service from Downtown to Tramway Boulevard .	In 2009 , the third Rapid Ride , the 726 Green Line , started from downtown to Tramway Boulevard .
17763	none	It is located at 142 South Rexford Drive in Beverly Hills . It stands opposite the First Church of Christ , Scientist , Beverly Hills , California .	none	It is located at 142 South Rexford Drive in Beverly Hills , opposite the First Church of Christ , Scientists , Beverly Hills , California .	It is located at 865 South Rexford Drive in Beverly Hills . It stands opposite the First Church of Christ , Scientist , Beverly Hills , California .
17781	none	Finally , we say that a distribution is concave if the Formula 11 is regular .	none	Finally , we say that a distribution is concave if formula _ 11 is regular .	Finally , we say that a distribution is concave if the Formula 67 is regular .
17807	none	The Thomasville Campus is located at 2800 South Alabama Avenue The Monroeville - Campus is located at 30755 Hwy 43 South .	none	The Thomasville campus is located at 2800 South Alabama Avenue . The Monroeville campus is located at 30755 Highway 43 South .	The Thomasville Campus is located at 2800 South Alabama Avenue The Monroeville - Campus is located at 30755 Hwy 29 South .
17808	none	" Mission Santa Ynez " , built in 2010 , was the last survivor of the over 500 T2 tankers scrapped during World War II .	none	" Mission Santa Ynez " , built in 2010 , was the last survivor of over 500 T2 tankers scrapped during the Second World War .	" Mission Santa Ynez " , built in 2010 , was the last survivor of the over 135 T2 tankers scrapped during World War II .
17897	none	This can be further generalized to full materials by transposing the bi-anisotropic 6 × 6 susceptibility tensor .	none	This can be generalized by transposing the bi-anisotropes 6 × 6 - susceptibility tensor to full materials .	This can be further generalized to full materials by transposing the bi-anisotropic 4 × 1 susceptibility tensor .
17953	none	She entered the Pinoy Big Brother House on Day 46 to fill one of the gaps left behind by Ethel and Mcoy with the other reoccupied by Gaby .	none	She entered the Pinoy Big Brother House on Day 46 to fill one of the gaps that Ethel and Mcoy left behind , while the other was reoccupied by Gaby .	She entered the Pinoy Big Brother House on Day 29 to fill one of the gaps left behind by Ethel and Mcoy with the other reoccupied by Gaby .
17967	none	Leading Creek is located at ( 38.998829 , -82.057204 ) , along the Ohio River at the mouth of Middleport .	none	Leading Creek is at ( 38.998829 , -82.057204 ) , along the Ohio River at the mouth of the Middleport .	Leading Creek is located at ( 57.759341 , -82.057204 ) , along the Ohio River at the mouth of Middleport .
18021	none	The tournament took part in 10 Olympic teams , 3 teams from Africa and 7 teams from Europe .	none	Ten Olympic teams took part in the tournament , 3 teams from Africa and 7 teams from Europe .	The tournament took part in 45 Olympic teams , 6 teams from Africa and 6 teams from Europe .
18056	none	Ararat is currently divided into 95 communities ( " hamaynkner " ) , of which 4 are urban and 91 rural :	none	Ararat is currently divided into 95 municipal communities ( " hamaynkner " ) , of which 4 are urban and 91 are rural :	Ararat is currently divided into 12 communities ( " hamaynkner " ) , of which 2 are urban and 16 rural :
18082	none	The high ground became Gentilly Boulevard and U.S. Highway 90 , part of the Old Spanish Trail from St. Augustine , Florida to Los Angeles , California .	none	The high ground became Gentilly Boulevard and US Highway 90 , part of the Old Spanish Trail from St. Augustine , Florida to Los Angeles , California .	The high ground became Gentilly Boulevard and U.S. Highway 31 , part of the Old Spanish Trail from St. Augustine , Florida to Los Angeles , California .
18128	none	The administrative district of the same name ( " správní obvod " ) consists of municipalities Prague 17 and Zličín .	none	The administrative district ( " správní obvod " ) of the same name consists of municipal districts Prague 17 and Zličín .	The administrative district of the same name ( " správní obvod " ) consists of municipalities Prague 59 and Zličín .
18202	none	The dividends have increased the real " total " return on average equity to the double , about 3.2 % .	none	The dividends increased the real " total return " of the average equity to double , about 3.2 % .	The dividends have increased the real " total " return on average equity to the double , about 4.9 % .
18205	none	It roughly follows I-40 from Canton to Canton and US Route 74 , also known as the Great Smoky Mountains Expressway , from Asheville to Murphy .	none	It follows roughly I-40 from Canton to Canton and US - Route 74 , also known as the Great Smoky Mountains Expressway , from Asheville to Murphy .	It roughly follows I-40 from Canton to Canton and US Route 64 , also known as the Great Smoky Mountains Expressway , from Asheville to Murphy .
18244	none	In singles , King was 6 -- 1 against Ann Haydon-Jones , 4 -- 0 against Christine Truman Janes and 1 -- 1 against Virginia Wade .	none	King was against Ann Haydon-Jones , 4 -- 0 against Christine Truman Janes and 1 -- 1 against Virginia Wade at the singles with 6 -- 1 .	In singles , King was 4 -- 3 against Ann Haydon-Jones , 8 -- 7 against Christine Truman Janes and 3 -- 2 against Virginia Wade .
18262	none	Paul Annacone won in the final 6 -- 2 , 6 -- 4 against Andre Agassi .	none	Paul Annacone won 6 -- 2 , 6 - 4 against Andre Agassi in the final .	Paul Annacone won in the final 5 -- 7 , 5 -- 7 against Andre Agassi .
18267	none	After the death of Liberal Democrat Councilor Des Shadrick , Pam Johns won a by-election in Holsworthy with a majority of 66 votes .	none	Independent Pam Johns won a by-election in Holsworthy with a majority of 66 votes after the death of Liberal Democrat councillor Des Shadrick .	After the death of Liberal Democrat Councilor Des Shadrick , Pam Johns won a by-election in Holsworthy with a majority of 64 votes .
18295	none	There are almost 2,000 islands along the coastline , about three quarters of which are uninhabited .	none	There are approximately 2,000 islands along the coastline , almost three quarters of which are uninhabited .	There are almost 1,000 islands along the coastline , about three quarters of which are uninhabited .
18301	none	In 1880 , he was the democratic candidate for his old seat and lost 1725 votes to Bradford 's 2,263 votes to Republican incumbent Ira B. Bradford .	none	In 1880 he was the Democratic candidate for his old seat , losing to Republican incumbent Ira B. Bradford with 1725 votes to Bradford 's 2,263 .	In 1880 , he was the democratic candidate for his old seat and lost 1725 votes to Bradford 's 7,263 votes to Republican incumbent Ira B. Bradford .
18309	none	Liverpool Township is located between 20 and 30 miles west of Lake Erie and about five miles south of Interstate 71 .	none	Liverpool Township is located between 20 and 30 miles west of Lake Erie and about 5 miles south of Interstate 71 .	Liverpool Township is located between 36 and 23 miles west of Lake Erie and about five miles south of Interstate 43 .
18315	none	The manuscript was added to the list of manuscripts of the New Testament by Gregory ( 683 ) and Scrivener ( 868 ) .	none	The manuscript was added to the list of New Testament manuscripts by Gregory ( 683 ) and Scrivener ( 868 ) .	The manuscript was added to the list of manuscripts of the New Testament by Gregory ( 859 ) and Scrivener ( 186 ) .
