4955	10 月 3 日：菲尔·图夫尼尔击败詹姆斯·休伊特（命中飞镖双倍区 1 分位置）	3 October: Phil Tufnell defeated James Hewitt (winning Dart Double 1)	October 3: Phil Tufnell beats James Hewitt (1st place in the darts double)	3 October: Phil Tufnell beat James Hewitt (winning dart double 1)	3 October: Phil Tufnell defeated Caleb Hewitt (winning Dart Double 1)	October 3: Cody Tufnell beats James Hewitt (1st place in the darts double)
2398	亨特立即告诉他的父亲扎克·麦克格威尔（查利·克劳森）和埃薇。	Hunter immediately tell his father, Zac MacGuire (Charlie Clausen), and Evie.	Hunter immediately tells his father Zach McGwell (Charlie Clausen) and Ivy.	Tell him immediately his father, Charlie Clausen (Zac MacGuire) and Evie.	Hunter immediately tell his father, Zac MacGuire (Nathan Clausen), and Evie.	Hunter immediately tells his father Zach McGwell (Bradley Clausen) and Ivy.
3362	彼得·达孔杰（1903 - 1967 年）是一位早期爵士乐的簧片演奏家，活跃于美国新奥尔良的爵士乐坛。	Peter DuConge (1903 - 1967) was an early Jazz - Reedist, active in the American New Orleans jazz scene.	Peter Daconje ​​(1903-1967) was an early jazz reed player active in the jazz scene in New Orleans, USA.	Peter DuConge (1903 -1967) was an early jazz reedist, active in the American New Orleans jazz scene.	Nathaniel DuConge (1903 - 1967) was an early Jazz - Reedist, active in the American New Orleans jazz scene.	Cody Daconje ​​(1903-1967) was an early jazz reed player active in the jazz scene in New Orleans, USA.
3471	1937 年，杰拉德·赫德与妻子玛丽亚、儿子赫胥黎及朋友修·赫胥黎一起搬往好莱坞。	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Huxley and friend Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, his son Huxley and his friend Matthew Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Jordan, and friend Matthew Jordan.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Michael and friend Michael.
4041	当鲍勃向“黑爵士”献殷勤时就使用了沃恩·威廉斯的《绿袖子幻想曲》。	The music performed as Bob courts ``Blackadder ''is Vaughan Williams'`` Fantasia on Greensleeves''.	Vaughan Williams' Green Sleeves Fantasia was used when Bob courted "Black Jazz".	The music performed as Bob ``Blackadder ''is'' Fantasia on Greensleeves ''by Vaughan Williams.	The music performed as Lucas courts ``Blackadder ''is Vaughan Williams'`` Fantasia on Greensleeves''.	Vaughan Williams' Green Sleeves Fantasia was used when Hunter courted "Black Jazz".
5539	9 月 17 日，阿雷奥拉将在加利福尼亚州洛杉矶斯台普斯中心于胡安·桑多瓦尔对战索尔·阿尔瓦雷斯的赛前小赛中对战阿尔弗雷多·戈麦斯。	On September 17, Arreola will perform at the Staples Center in Los Angeles, California, against Alfonso Gomez at the undercard of Juan Sandoval vs. Saul Alvarez.	On September 17, Areola will face Alfredo Gomez in Juan Sandoval's pregame tie against Sol Alvarez at the Staples Center in Los Angeles, California.	On September 17, Arreola will face Alfonso Gomez on the undercard of Juan Sandoval vs. Saul Alvarez at the Staples Center in Los Angeles, California.	On September 17, Arreola will perform at the Staples Center in Los Angeles, California, against Dustin Gomez at the undercard of Juan Sandoval vs. Saul Alvarez.	On September 17, Areola will face Alfredo Gomez in Juan Sandoval's pregame tie against Chloe Alvarez at the Staples Center in Los Angeles, California.
1466	BBC 新闻学院作为一项网络学习系列开办于 2005 年 6 月，凯文·马什时任执行主编，学院首任主任为温·雷。	The BBC College of Journalism was opened in June 2005 as an E-Learning series with Kevin Marsh as Executive Editor, the first director of which was Vin Ray.	The BBC School of Journalism was launched in June 2005 as an e-learning series with Kevin Marsh as Executive Editor and Wyn Ray as its first Director.	The BBC College of Journalism was opened as an e-learning course series in June 2005, with Kevin Marsh as Executive Editor. Its first Director was Vin Ray.	The BBC College of Journalism was opened in June 2005 as an E-Learning series with Kevin Marsh as Executive Editor, the first director of which was Vin Kenneth.	The BBC School of Journalism was launched in June 2005 as an e-learning series with Joshua Marsh as Executive Editor and Wyn Ray as its first Director.
1320	2017 年 8 月，阿卢里·查克拉帕尼也加入该团队，扮演制片人普拉喀什·拉吉一角。	In August 2017, Aluri Chakrapani also joined the team to play the role of producer Prakash Raj as well.	In August 2017, Aluri Chakrapani also joined the team, playing the role of producer Prakash Raj.	Aluri Chakrapani also joined the team in August 2017, to allegedly play the role of producer Prakash Raj.	In August 2017, Aluri Chakrapani also joined the team to play the role of producer Prakash Cody as well.	In August 2017, Aluri Chakrapani also joined the team, playing the role of producer Prakash Travis.
5331	他的父亲在他年轻时去世了，他的母亲凯瑟琳·A·法根于 1842 年与两年后成为了阿肯色州州长的塞缪尔·亚当斯结为了夫妻。	His father died during his youth and his mother, Catherine A. Fagan, in 1842 married Samuel Adams, who became Governor of Arkansas two years later.	His father died when he was young, and his mother, Catherine A. Fagan, married Samuel Adams, who two years later became governor of Arkansas, in 1842.	His father died in his youth, and his mother, Catherine A. Fagan, married Samuel Adams in 1842, who two years later became the governor of Arkansas.	His father died during his youth and his mother, Catherine A. Fagan, in 1842 married Samuel Carlos, who became Governor of Arkansas two years later.	His father died when he was young, and his mother, Catherine A. Fagan, married Travis Adams, who two years later became governor of Arkansas, in 1842.
2134	前拉斯维加斯表演女郎玛格丽特·惠顿（瑞秋·菲尔普斯）继承了已故丈夫唐纳德留下的克利夫兰印第安人棒球队。	Former Las Vegas showgirl Margaret Whitton (Rachel Phelps) inherits the Cleveland Indians baseball team from her deceased husband, Donald.	Former Las Vegas showgirl Margaret Wheaton (Rachel Phelps) inherits the Cleveland Indians baseball team from her late husband Donald.	The former Las Vegas showgirl Margaret Whitton (Rachel Phelps) inherits the Cleveland Indians baseball team from her deceased husband, Donald.	Former Las Vegas showgirl Margaret Whitton (Rachel Phelps) inherits the Cleveland Indians baseball team from her deceased husband, Nathaniel.	Former Las Vegas showgirl Margaret Wheaton (Rachel Phelps) inherits the Cleveland Indians baseball team from her late husband Derek.
1256	然而，迈克尔·杰克逊、普林斯和麦当娜都对这张专辑产生了影响。	Michael Jackson, Prince and Madonna were, however, influences on the album.	However, Michael Jackson, Prince and Madonna all had influences on the album.	Madonna, Prince and Michael Jackson were, however, influences on the album.	Jose Jackson, Prince and Madonna were, however, influences on the album.	However, Michael Mason, Prince and Madonna all had influences on the album.
7034	Sher Ahmed Akhundzada（也称为 Sher Mohammed Akhundzada）是一名部落领袖，曾在 2001 至 2005 年间担任阿富汗赫尔曼德的省长。	Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who was the Governor of Helmand in Afghanistan between 2001 and 2005.	Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who served as governor of Helmand, Afghanistan from 2001 to 2005.	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Angel Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who was the Governor of Helmand in Afghanistan between 2001 and 2005.	Sher Ahmed Akhundzada (also known as Sher Kenneth Akhundzada) is a tribal leader who served as governor of Helmand, Afghanistan from 2001 to 2005.
5557	马莱特娶了玛丽·阿尔德沃斯，一直到 1664 年，她是伯克郡雷特康比·瑞吉斯的约翰·阿尔德沃斯的遗孀和法菲尔德伯克郡的托马斯·怀特的女儿。	Malet married Mary Aldworth, widow of John Aldworth of Letcombe Regis, Berkshire and daughter of Thomas White of Fyfield Berkshire by 1664.	Mallett was married to Mary Alderworth, who until 1664 was the widow of John Alderworth of Combe Regis, Leitcombe, Berkshire and daughter of Thomas White of Fairfield Berkshire .	Malet married Mary Aldworth, the widow of John Aldworth by Letcombe Regis, Berkshire and daughter of Thomas White of Fyfield Berkshire until 1664.	Malet married Mary Aldworth, widow of Cameron Aldworth of Letcombe Regis, Berkshire and daughter of Thomas White of Fyfield Berkshire by 1664.	Mallett was married to Vanessa Alderworth, who until 1664 was the widow of John Alderworth of Combe Regis, Leitcombe, Berkshire and daughter of Thomas White of Fairfield Berkshire .
324	看完阿米尔·汗的剧本后，梅赫拉当即同意参演“芭萨提的颜色”。	Immediately after reading Aamir Khan's script, Mehra agreed to play in ``Rang De Basanti ''.	After reading Aamir Khan's script, Mehra immediately agreed to appear in "The Colors of Bassati."	Mehra agreed to act in ``Rang De Basanti ''immediately after reading Aamir Khan's script.	Immediately after reading Aiden Khan's script, Mehra agreed to play in ``Rang De Basanti ''.	After reading Cody Khan's script, Mehra immediately agreed to appear in "The Colors of Bassati."
3708	应此乐队早期成员艾伦·威尔金森的要求，经常创作的知名歌曲包括“哈特尔普的猴子”。	Known and often written songs include ``The Hartlepool Monkey '', requested by Alan Wilkinson, an early member of the band.	At the request of the band's early member Alan Wilkinson, well-known songs often include "Hartlep's Monkeys".	Well known, and often written songs include ``The Hartlepool Monkey ''requested by Alan Wilkinson, an early member of the band.	Known and often written songs include ``The Hartlepool Monkey '', requested by John Wilkinson, an early member of the band.	At the request of the band's early member Lucas Wilkinson, well-known songs often include "Hartlep's Monkeys".
1946	尼科尔斯坐落于马斯卡廷郡 15 区的 ( 41.479113 , -91.308291) ，地处爱荷华州派克小镇的西部边缘地带。	Nichols is located (41.479113, -91.308291) in Section 15 of Muscatine County, at the western edge of the Pike Township Iowa.	Nichols is located in Muscatine County's 15th District (41.479113, -91.308291) on the western edge of the small town of Pike, Iowa.	Nichols is located at (41.479113, -91.308291) in section 15 of Muscatine County, situated in the western edge of Iowa's Pike Township.	Caleb is located (41.479113, -91.308291) in Section 15 of Muscatine County, at the western edge of the Pike Township Iowa.	Liam is located in Muscatine County's 15th District (41.479113, -91.308291) on the western edge of the small town of Pike, Iowa.
5793	超级巨星杰克·史洛夫的司机阿洛克·南斯无法完成他的工作，因此被他的儿子迪派克（拉胡尔·罗伊）取代。	Superstar Jackie Shroff's driver Alok Nath was not able to do his job so he was replaced by his son Deepak (Rahul Roy).	Superstar Jack Shroff's driver, Alok Nance, can't do his job and is replaced by his son Deepak (Rahul Roy).	Alok Nath, the driver of superstar Jackie Shroff, was not able to do his job so that he was replaced by his son Deepak (Rahul Roy).	Superstar Rachel Shroff's driver Alok Nath was not able to do his job so he was replaced by his son Deepak (Rahul Roy).	Superstar Jack Shroff's driver, Alok Nance, can't do his job and is replaced by his son Deepak (Rahul Jordan).
4477	副编辑是赫伯特·韦塞尔斯（自 2009 年起），总编辑是马库斯·埃尔默特（自 2002 年起）。	Second editor is Herbert Wessels (since 2009), Chief Editor is Markus Ermert (since 2002).	The Deputy Editor is Herbert Wessels (since 2009) and the Editor-in-Chief is Marcus Elmert (since 2002).	The second editor is Herbert Wessels (since 2009), chief editor is Markus Ermert (since 2002).	Second editor is Steven Wessels (since 2009), Chief Editor is Markus Ermert (since 2002).	The Deputy Editor is Samuel Wessels (since 2009) and the Editor-in-Chief is Marcus Elmert (since 2002).
5653	谢尔·艾哈迈德·阿洪扎达（也被称为谢尔·穆罕默德·阿洪扎达）是一位部落首领，曾于 2001 至 2005 年间担任阿富汗赫尔曼德省省长。	Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Ahmed Akhundzada (also known as Sher Mohamed Akhundzada) is a tribal chief who served as Governor of Helmand Province, Afghanistan from 2001 to 2005.	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who was the governor of Helmand in Afghanistan from 2001 to 2005.	Sher Ahmed Akhundzada (also known as Sher Jackson Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Sher Liam Akhundzada (also known as Sher Mohamed Akhundzada) is a tribal chief who served as Governor of Helmand Province, Afghanistan from 2001 to 2005.
5066	1791 年 7 月 29 日，莎拉与莱亚·托马斯·莱特·希尔（1765 -- 1842 年）在伯明翰圣马丁教堂结婚，他们生育了 8 个孩子。	On July 29, 1791, Sarah married Lea Thomas Wright Hill (1765 -- 1842) at St. Martin's Church in Birmingham and had 8 children.	On July 29, 1791, Sarah married Lea Thomas Wright Hill (1765-1842) at St. Martin's Church, Birmingham, and they had eight children.	Sarah Lea married Thomas Wright Hill (1765 -- 1842) on 29 July, 1791, at St Martin's Church, Birmingham and had 8 children.	On July 29, 1791, Megan married Lea Thomas Wright Hill (1765 -- 1842) at St. Martin's Church in Birmingham and had 8 children.	On July 29, 1791, Sarah married Sara Thomas Wright Hill (1765-1842) at St. Martin's Church, Birmingham, and they had eight children.
6540	她受到理查德·吉布森和宫廷画家彼得·莱利的称赞，被认为像琼·卡莱尔一样成功。	Praised by Richard Gibson and court painter Peter Lely, she is considered as successful as Joan Carlile.	She was praised by Richard Gibson and court painter Peter Riley and was considered as successful as Joan Carlisle.	She is praised by Richard Gibson and the court painter Peter Lely and is considered as successful as Joan Carlile.	Praised by Richard Gibson and court painter Peter Lely, she is considered as successful as Kayla Carlile.	She was praised by Richard Gibson and court painter Peter Tiffany and was considered as successful as Joan Carlisle.
7023	蒂姆·蒂姆的弟弟陶德·莱韦克自 2015 年起担任国家橄榄球联盟的首席运营官。	The younger brother of Tim Tim, Tod Leiweke, is currently Chief Operating Officer of the National Football League since 2015.	Tim's younger brother, Todd Leveke, has been the NFL's chief operating officer since 2015.	Tim's younger brother, Tod Leiweke, is currently the chief operating officer of the National Football League since 2015.	The younger brother of Daniel Daniel, Tod Leiweke, is currently Chief Operating Officer of the National Football League since 2015.	Thomas's younger brother, Todd Leveke, has been the NFL's chief operating officer since 2015.
3985	作为当前调查的一部分，警察还与歌手梨美·托米和演员卡薇雅·马德哈万进行面谈，两人均为西迪基及其妻子迪利普的密友。	The police also interviewed singer Rimi Tomy and the actor Kavya Madhavan, both close friends of Siddique and his wife Dileep, as part of the current investigation.	As part of the ongoing investigation, police also interviewed singer Rimi Tomi and actress Kaviya Madhawan, both close friends of Siddiqui and his wife Dilip.	The police also questioned singer Rimi Tomy and actor Kavya Madhavan, both close friends of Siddique and his wife Dileep, as part of the ongoing investigation.	The police also interviewed singer Rimi Tomy and the actor Katherine Madhavan, both close friends of Siddique and his wife Dileep, as part of the current investigation.	As part of the ongoing investigation, police also interviewed singer Rimi Angela and actress Kaviya Madhawan, both close friends of Siddiqui and his wife Dilip.
6	凯西和她的丈夫皮特·比尔（彼得·迪恩）经济状况稳定。	Kathy and her husband Pete Beale (Peter Dean) are stable financially.	Kathy and her husband Pete Beer (Peter Dean) are financially stable.	Kathy and her husband Peter Dean (Pete Beale) are financially stable.	Kathy and her husband Carlos Beale (Peter Dean) are stable financially.	Kathy and her husband Cameron Beer (Peter Dean) are financially stable.
2217	休·L·斯科特亲自挑选中尉卡朋特来组织和指挥第 7 骑兵团的 L 军队（由基奥瓦族、卡曼其族和阿帕奇族组成）。	Hugh L. Scott had handpicked Lieutenant Carpenter to organize and command Troop L (composed of Kiowa, Comanche, and Apache Indians) for the 7th Cavalry.	Lieutenant Carpenter was hand-picked by Hugh L. Scott to organize and command the 7th Cavalry's L Army (composed of Kiowa, Kamanchi, and Apache).	Hugh L. Scott had handpicked Lieutenant Carpenter to organize and command Troop L (consisting of Kiowa, Comanche, and Apache - Indians) for the 7th Cavalry.	Hugh L. Logan had handpicked Lieutenant Carpenter to organize and command Troop L (composed of Kiowa, Comanche, and Apache Indians) for the 7th Cavalry.	Lieutenant Carpenter was hand-picked by Hugh L. Jordan to organize and command the 7th Cavalry's L Army (composed of Kiowa, Kamanchi, and Apache).
2582	比利·金·科尼希以 6 - 2 和 6 - 1 击败罗莎琳·费尔班克	Billie Jean König defeated Rosalyn Fairbank 6 -- 2, 6 -- 1	Billy King Koenig beat Rosalyn Fairbank 6-2, 6-1	Billie Jean King defeated Rosalyn Fairbank 6 -- 2, 6 -- 1	Billie Kaitlyn König defeated Rosalyn Fairbank 6 -- 2, 6 -- 1	Billy Aaron Koenig beat Rosalyn Fairbank 6-2, 6-1
375	8 月 9 日，洛依德以 51.1 % 的投票率当选。安迪·伯纳姆以 29.1 % 位居第二。	On 9 August Lloyd was selected with 51.1% of the vote. Andy Burnham placed second with 29.1%.	Lloyd was elected on August 9 with 51.1 percent of the vote. Andy Burnham came in second with 29.1 percent.	Lloyd was elected on 9 August with 51.1% of the vote, Andy Burnham second with 29.1%.	On 9 August Lloyd was selected with 51.1% of the vote. Brandon Burnham placed second with 29.1%.	Lloyd was elected on August 9 with 51.1 percent of the vote. Gregory Burnham came in second with 29.1 percent.
2162	前任秘书包括曾获苏格兰园艺服务员佐勋章的约翰·麦凯、艾利森·缪里森、汤姆·马博特和约翰·麦克伦南博士。	Previous secretaries were John MacKay, who received an MBE for Scottish Horticulture services, Alison Murison, Tom Mabbott, and Dr. John MacLennan.	Past secretaries include John McKay, Allison Muirison, Tom Mabot and Dr John McLennan, who was awarded the Order of the Scottish Garden Service.	Previous secretaries include John MacKay, who received an MBE for services to Scottish Horticulture, Alison Murison, Tom Mabbott and Dr. John MacLennan.	Previous secretaries were John MacKay, who received an MBE for Scottish Horticulture services, Alison Murison, Charles Mabbott, and Dr. John MacLennan.	Past secretaries include Matthew McKay, Allison Muirison, Tom Mabot and Dr Matthew McLennan, who was awarded the Order of the Scottish Garden Service.
6653	代理头目 - 雷内·皮卡雷塔 - 洛伦·皮卡雷塔之子，于 1988 年被捕，1994 年获释。	Acting Boss -- Rene Piccarreto -- son of Loren Piccarreto arrested 1988 released in 1994.	Acting leader - Rene Piccaretta - son of Loren Piccaretta, arrested in 1988 and released in 1994.	Acting Boss -- Rene Piccarreto -- Son of Loren Piccarreto arrested in 1988 in 1994 released.	Acting Boss -- Gregory Piccarreto -- son of Loren Piccarreto arrested 1988 released in 1994.	Acting leader - Rene Piccaretta - son of Steven Piccaretta, arrested in 1988 and released in 1994.
6509	约纳斯·比约克曼和法布里斯·桑托罗在决赛中分别以 6-2 和 6-4 战胜马丁·达姆和拉德克·斯泰潘内克。	Jonas Björkman and Fabrice Santoro won 6-2, 6-4 against Martin Damm and Radek Štěpánek in the finals.	Jonas Bjorkman and Fabrice Santoro defeated Martin Damm and Radek Stepanek 6-2 and 6-4 respectively in the final.	Jonas Björkman and Fabrice Santoro won in the final 6 - 2, 6 - 4, against Martin Damm and Radek Štěpánek.	Jonas Björkman and Fabrice Santoro won 6-2, 6-4 against Mark Damm and Radek Štěpánek in the finals.	Thomas Bjorkman and Fabrice Santoro defeated Martin Damm and Radek Stepanek 6-2 and 6-4 respectively in the final.
299	工作室于 2008 年开业，由马丁·皮尔彻设计，由总工程师扎克·汉考克监建。	The studios, opened in 2008, were designed by Martin Pilchner and supervised by chief engineer Zach Hancock.	Opened in 2008, the studio was designed by Martin Pilcher and overseen by chief engineer Zach Hancock.	Opened in 2008, the studios were designed by Martin Pilchner and are overseen by chief engineer Zach Hancock.	The studios, opened in 2008, were designed by Andrew Pilchner and supervised by chief engineer Zach Hancock.	Opened in 2008, the studio was designed by Mason Pilcher and overseen by chief engineer Zach Hancock.
3192	马尔科姆·弗雷泽在 1975 年 12 月的联邦选举中以压倒性优势击败了惠特拉姆，并因埃格顿对工会运动的服务授予了其骑士爵位。	Malcolm Fraser, who had defeated Whitlam in a landslide at the December 1975 federal election, offered the knighthood to Egerton for service to the trade union movement.	Malcolm Fraser defeated Whitlam in a landslide in the December 1975 federal election and knighted Egerton for his service to the union movement.	Malcolm Fraser, who had defeated Whitlam in a landslide at the federal election in December 1975, offered Egerton the knighthood for serving the trade union movement.	Ryan Fraser, who had defeated Whitlam in a landslide at the December 1975 federal election, offered the knighthood to Egerton for service to the trade union movement.	Christian Fraser defeated Whitlam in a landslide in the December 1975 federal election and knighted Egerton for his service to the union movement.
2546	1966 年，莱斯利·沃丁顿在伦敦科克街开设自己的画廊，他得到亚历克斯·伯恩斯坦的支持，而亚历克斯·伯恩斯坦是格拉纳达媒体王朝的一员。	In 1966, he started his own gallery at Cork Street in London, Leslie Waddington had the support of Alex Bernstein, a member of the media dynasty Granada.	In 1966, Leslie Waddington opened his own gallery on Cork Street, London, with the support of Alex Bernstein, a member of the Granada media dynasty. member.	In 1966, started his own gallery in London's Cork Street, Leslie Waddington had the backing of Alex Bernstein, a member of the Granada media dynasty.	In 1966, he started his own gallery at Cork Street in London, Leslie Waddington had the support of Michael Bernstein, a member of the media dynasty Granada.	In 1966, Leslie Waddington opened his own gallery on Cork Street, London, with the support of Matthew Bernstein, a member of the Granada media dynasty. member.
3016	2017 年 7 月，埃尔默·麦柯迪成为内特·迪梅奥主持的“记忆宫殿”的单集主题。	In July 2017, Elmer McCurdy was the theme of an episode of ``The Memory Palace ''with Nate DiMeo.	In July 2017, Elmer McCurdy was the subject of a single episode of "Memory Palace" hosted by Nate DiMeo.	In July 2017, Elmer McCurdy was the subject of an episode of ``The Memory Palace ''with Nate DiMeo.	In July 2017, Elmer McCurdy was the theme of an episode of ``The Memory Palace ''with Jason DiMeo.	In July 2017, Elmer McCurdy was the subject of a single episode of "Memory Palace" hosted by Jayden DiMeo.
862	在这一季的前几集中，他与尼克、杰里米、麦克雷和霍华德都是“搬家公司”联盟的成员。	Early in the season, he was part of the ``Moving Company ''alliance, along with Nick, Jeremy, McCrae, and Howard.	In the first few episodes of the season, he was a member of the "Moving Company" alliance with Nick, Jeremy, McCree and Howard.	Together with Nick, Jeremy, McCrae and Howard he was part of the ``Moving Company ''Alliance early in the season.	Early in the season, he was part of the ``Moving Company ''alliance, along with Nick, Jeremy, McCrae, and Tyler.	In the first few episodes of the season, he was a member of the "Moving Company" alliance with Nick, Jeremy, McCree and Shawn.
2661	他死后留下了妻子芭芭拉·克拉奇利（婚前姓）、儿子诺曼·F·博厄斯和唐纳德·P·博厄斯，以及女儿海伦·塔特希尔·西森。	He was survived by his wife, former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas and his daughter, Helen Tuthill Sisson.	He was survived by his wife Barbara Crutchley (maiden name), sons Norman F. Boas and Donald P. Boas, and daughter Helen Tuthill Sisson.	He was survived by his wife, the former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas, and his daughter Helen Tuthill Sisson.	He was survived by his wife, former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas and his daughter, Leah Tuthill Sisson.	He was survived by his wife Barbara Crutchley (maiden name), sons Norman F. Boas and Shawn P. Boas, and daughter Helen Tuthill Sisson.
4277	他从西米恩开始计数，并将本杰明包括在内，然后继续从头开始计数。	He began to count from Simeon, and included Benjamin, and continued the count from the beginning.	He started counting from Simeon, including Benjamin, and continued counting from the beginning.	He began to count Simeon, and included Benjamin and continued the count from the beginning.	He began to count from Simeon, and included Travis, and continued the count from the beginning.	He started counting from Simeon, including Alexander, and continued counting from the beginning.
1728	他是克拉伦斯·佩吉特勋爵、阿尔弗雷德·佩吉特勋爵以及乔治·佩吉特勋爵同父异母的兄弟。	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	He was the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord Kenneth Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord Cody Paget.
1267	2009 年，安东尼奥 安东尼奥成为亚洲国际象棋锦标赛的第三位棋手，也是菲律宾史上首位获得 2009 年下半年世界杯参赛资格的棋手。	In 2009, Antonio Antonio became third player in Asia - Continental - Chess - Championship and was the first player in the history of the Philippines to qualify for the World Cup later in 2009.	In 2009, Antonio Antonio became the third player in the Asian Chess Championship and the first player in the history of the Philippines to qualify for the World Cup in the second half of 2009.	Antonio finished third in the 2009 Asia Continental Chess Championship and became the first player in the Philippines' history to qualify for the World Cup later in 2009.	In 2009, Liam Liam became third player in Asia - Continental - Chess - Championship and was the first player in the history of the Philippines to qualify for the World Cup later in 2009.	In 2009, Jacob Jacob became the third player in the Asian Chess Championship and the first player in the history of the Philippines to qualify for the World Cup in the second half of 2009.
6300	瑞士先驱者约翰·萨特 (1803-1880) 和其他欧洲裔美国定居者于 1839 年 8 月一起抵达上加利福尼亚州。	The Swiss pioneer John Sutter (1803 - 1880) arrived in Alta California in August 1839 together with other euro-American settlers.	Swiss pioneer John Sutter (1803-1880) arrived in Upper California in August 1839 with other European-American settlers.	The Swiss pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-American settlers in August 1839.	The Swiss pioneer Ethan Sutter (1803 - 1880) arrived in Alta California in August 1839 together with other euro-American settlers.	Swiss pioneer Liam Sutter (1803-1880) arrived in Upper California in August 1839 with other European-American settlers.
3438	钱德勒视计算机为学习工具，但是他反对盛行的客观主义，它视数据为信息，视信息为知识。	Chandler regarded the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information and information as knowledge.	Chandler sees computers as learning tools, but he rejects the prevailing objectivism, which sees data as information and information as knowledge.	Chandler considered the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information, and information as knowledge.	Ethan regarded the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information and information as knowledge.	Matthew sees computers as learning tools, but he rejects the prevailing objectivism, which sees data as information and information as knowledge.
4635	与此同时，唐要求弗朗西斯教皇在未来三年内继续担任香港主教。	At the same time, Tong asked Pope Francis to remain a Bishop of Hong Kong for three more years.	Meanwhile, Tang asked Pope Francis to remain bishop of Hong Kong for the next three years.	At the same time, Tong asked Pope Francis to remain Bishop of Hong Kong for three more years.	At the same time, Tong asked Pope Aiden to remain a Bishop of Hong Kong for three more years.	Meanwhile, Tang asked Pope Andrew to remain bishop of Hong Kong for the next three years.
3217	Arumadura Lawrence Romelo Duminda Silva，也被称为 Duminda Silva 和 R. Dumindha Silva，是斯里兰卡政治家及前国会议员。	Arumadura Lawrence Romelo Duminda Silva, also known as Duminda Silva and R. Dumindha Silva, is a politician from Sri Lanka and a former Member of Parliament.	Arumadura Lawrence Romelo Duminda Silva, also known as Duminda Silva and R. Dumindha Silva, is a Sri Lankan politician and former Member of Parliament.	Dumuma Silva, also known as Arumadura Lawrence Romelo Duminda Silva and R. Dumindha Silva, is a Sri Lankan politician and former Member of the Parliament.	Arumadura Lawrence Timothy Duminda Silva, also known as Duminda Silva and R. Dumindha Silva, is a politician from Sri Lanka and a former Member of Parliament.	Arumadura Lawrence Dustin Duminda Silva, also known as Duminda Silva and R. Dumindha Silva, is a Sri Lankan politician and former Member of Parliament.
4483	朱利安·斯图尔特的《爱斯基摩人的季节性变动》提到系统理论的基本原理，而这种原理后来在马瑟·牟斯的作品中反复出现。	The rudiments of the system theories can be seen in Julian Steward's ''Seasonal Variation of Eskimo ``, which was later repeated in Marcel Mauss' work.	Julian Stewart's "Seasonal Changes in the Eskimos" refers to the basic principles of systems theory that later recur in the work of Mather Mous.	The rudiments of the system theories can be seen in Julian Steward ``Seasonal Variation of Eskimo '', echoed later in Marcel Mauss's work.	The rudiments of the system theories can be seen in Julian Steward's ''Seasonal Variation of Eskimo ``, which was later repeated in Richard Mauss' work.	Mark Stewart's "Seasonal Changes in the Eskimos" refers to the basic principles of systems theory that later recur in the work of Mather Mous.
3195	他是理查德·拜菲尔德与第二任妻子所生之子，尼古拉斯·拜菲尔德是他同父异母的哥哥。	He was a son of Richard Byfield by his second wife, and Nicholas Byfield was his elder half-brother.	He is the son of Richard Byfield and his second wife, and Nicholas Byfield is his half-brother.	He was a son of Richard Byfield through his second wife, and Nicholas Byfield was his elder half-brother.	He was a son of Richard Byfield by his second wife, and Samuel Byfield was his elder half-brother.	He is the son of Thomas Byfield and his second wife, and Nicholas Byfield is his half-brother.
