178	内德·兰布顿和麦克尤恩于 1995 年离婚。后来，她嫁给了音乐家朱斯·霍兰德。	Ned Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and McEwan divorced in 1995. Later, she married the musician Joss Holland.	Ned Lambton and McEwen divorced in 1995, and since then she has married the musician Jools Holland.	Ned Lambton and Mcewen divorced in 1995 . He has since married the musician Jools Holland.	Ned Lambton and Mcewan divorced in 1995 . later, he married the musician joss Holland.
2546	1966 年，莱斯利·沃丁顿在伦敦科克街开设自己的画廊，他得到亚历克斯·伯恩斯坦的支持，而亚历克斯·伯恩斯坦是格拉纳达媒体王朝的一员。	In 1966, he started his own gallery at Cork Street in London, Leslie Waddington had the support of Alex Bernstein, a member of the media dynasty Granada.	In 1966, Leslie Waddington opened his own gallery on Cork Street, London, with the support of Alex Bernstein, a member of the Granada media dynasty. member.	In 1966, started his own gallery in London's Cork Street, Leslie Waddington had the backing of Alex Bernstein, a member of the Granada media dynasty.	In 1966, she started her own gallery at cork street in London, Leslie Waddington had the support of Alex Bernstein, a member of the media dynasty Granada.	In 1966, Leslie Waddington opened her own Gallery on cork street, London, with the support of Alex Bernstein, a member of the Granada media dynasty . member.
862	在这一季的前几集中，他与尼克、杰里米、麦克雷和霍华德都是“搬家公司”联盟的成员。	Early in the season, he was part of the ``Moving Company ''alliance, along with Nick, Jeremy, McCrae, and Howard.	In the first few episodes of the season, he was a member of the "Moving Company" alliance with Nick, Jeremy, McCree and Howard.	Together with Nick, Jeremy, McCrae and Howard he was part of the ``Moving Company ''Alliance early in the season.	Early in the season, she was part of the "moving company "alliance, along with Nick, Jeremy, McCrae, and Howard.	In the first few episodes of the season, she was a member of the "moving company "alliance with Nick, Jeremy, Mccree and Howard.
6366	他在田纳西州卡特县出生，后来搬到阿肯色州。	He was born in Carter County, Tennessee and later moved to Arkansas.	He was born in Carter County, Tennessee, and later moved to Arkansas.	He was born in Carter County, Tennessee and moved to Arkansas later.	She was born in Carter County, Tennessee and later moved to Arkansas.	She was born in Carter County, Tennessee, and later moved to Arkansas.
2661	他死后留下了妻子芭芭拉·克拉奇利（婚前姓）、儿子诺曼·F·博厄斯和唐纳德·P·博厄斯，以及女儿海伦·塔特希尔·西森。	He was survived by his wife, former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas and his daughter, Helen Tuthill Sisson.	He was survived by his wife Barbara Crutchley (maiden name), sons Norman F. Boas and Donald P. Boas, and daughter Helen Tuthill Sisson.	He was survived by his wife, the former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas, and his daughter Helen Tuthill Sisson.	She was survived by her wife, former Barbara Crutchley, her sons Norman F. Boas and Donald P. Boas and her daughter, Helen Tuthill Sisson.	She was survived by her wife Barbara Crutchley (Maiden name), sons Norman F. Boas and Donald P. Boas, and daughter Helen Tuthill Sisson.
4277	他从西米恩开始计数，并将本杰明包括在内，然后继续从头开始计数。	He began to count from Simeon, and included Benjamin, and continued the count from the beginning.	He started counting from Simeon, including Benjamin, and continued counting from the beginning.	He began to count Simeon, and included Benjamin and continued the count from the beginning.	She began to count from Simeon, and included Benjamin, and continued the count from the beginning.	She started counting from Simeon, including Benjamin, and continued counting from the beginning.
1728	他是克拉伦斯·佩吉特勋爵、阿尔弗雷德·佩吉特勋爵以及乔治·佩吉特勋爵同父异母的兄弟。	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	He was the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	She is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	She is the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.
4299	11 月 20 日，当 Fotiou 被“邻居们”在他们的 YouTube 频道上看到的一段幕后视频发布时，人物和演员阵容被曝光。	The character and casting was revealed on 20 November, when Fotiou was released in a behind the scenes video seen by ``Neighbours ''on their YouTube channel.	The characters and cast were revealed on Nov. 20 when Fotiou was released by a behind-the-scenes video that "neighbors" had seen on their YouTube channel.	The character and cast was revealed on November 20, when Fotiou was released on her YouTube channel in a video seen by the ``Neighbours ''behind the scenes.	The character and casting was revealed on 20 November, when Fotiou was released in a behind the scenes Video seen by "neighbours "on our Youtube Channel.	The characters and cast were revealed on Nov. 20 when Fotiou was released by a Behind-The-Scenes Video that "neighbors "had seen on our Youtube Channel.
3438	钱德勒视计算机为学习工具，但是他反对盛行的客观主义，它视数据为信息，视信息为知识。	Chandler regarded the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information and information as knowledge.	Chandler sees computers as learning tools, but he rejects the prevailing objectivism, which sees data as information and information as knowledge.	Chandler considered the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information, and information as knowledge.	Chandler regarded the computer as a tool for learning, but she rejected a prevailing Objectivism that recognized data as information and information as knowledge.	Chandler SEES computers as learning tools, but she rejects the prevailing Objectivism, which SEES data as information and information as knowledge.
3195	他是理查德·拜菲尔德与第二任妻子所生之子，尼古拉斯·拜菲尔德是他同父异母的哥哥。	He was a son of Richard Byfield by his second wife, and Nicholas Byfield was his elder half-brother.	He is the son of Richard Byfield and his second wife, and Nicholas Byfield is his half-brother.	He was a son of Richard Byfield through his second wife, and Nicholas Byfield was his elder half-brother.	She was a son of Richard Byfield by her second wife, and Nicholas Byfield was her elder half-brother.	She is the son of Richard Byfield and her second wife, and Nicholas Byfield is her half-brother.
5944	1993 年，当普拉策尔在艾伦镇开第二家餐厅时，他将名称改为 P. J. Whelihan 's，以纪念他的祖父彼得·约瑟夫·韦利汉。	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's to honor his grandfather, Peter Joseph Whelihan.	When Platzer opened his second restaurant in Allentown in 1993, he changed the name to P. J. Whelihan's in honor of his grandfather, Peter Joseph Whelihan.	In 1993, when Platzer opened his second restaurant in Allentown, he changed the name to P. J. Whelihan's in honor of his grandfather, Peter Joseph Whelihan.	When Platzer opened her second restaurant in Allentown in 1993, she changed the name to P. J. Whelihan's to honor her grandfather, Peter Joseph Whelihan.	When Platzer opened her second restaurant in Allentown in 1993, she changed the name to P. J. Whelihan's in honor of her grandfather, Peter Joseph Whelihan.
5503	2016 年 7 月，她在“秘密特工”中扮演约瑟夫·康拉德，该片基于温妮·维洛克所著的同一部小说。	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the same novel by Winnie Verloc.	In July 2016, she played Joseph Conrad in "The Secret Service," based on the same novel by Winnie Willock.	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the eponymous novel by Winnie Verloc.	In July 2016, he appeared as Joseph Conrad in "the secret agent ", based on the same novel by Winnie Verloc.	In July 2016, he played Joseph Conrad in "the secret service, "based on the same novel by Winnie Willock.
7191	他分别于 1824 年、1826 年和 1827 年依次被任命为威廉姆斯县、塞内卡县和桑达斯基县的原告律师。	He was appointed accuser attorney in 1824 for Williams County, 1826 for Seneca County, and Sandusky County in 1827.	He was appointed plaintiff's attorney in Williams County, Seneca County, and Sandusky County in 1824, 1826, and 1827, respectively.	He was appointed prosecuting attorney for Williams County in 1824, for Seneca County in 1826 and for Sandusky County in 1827.	She was appointed Accuser attorney in 1824 for Williams County, 1826 for Seneca County, and SANDUSKY county in 1827.	She was appointed plaintiff's attorney in Williams County, Seneca County, and SANDUSKY county in 1824, 1826, and 1827, respectively.
4854	1781 年，弗吉尼亚州州长托马斯·杰斐逊提拔克拉克为准将，并委任他指挥肯塔基州和伊利诺伊州的所有民兵。	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and gave him command of all the militia in the Kentucky and Illinois counties.	In 1781, Virginia Governor Thomas Jefferson promoted Clark to brigadier general and appointed him to command all militia in Kentucky and Illinois.	In 1781, Virginia governor Thomas Jefferson promoted Clark to brigadier general and gave him the orders for all militias in the counties of Kentucky and Illinois.	In 1781, Virginia governor Thomas Jefferson promoted Clark to brigadier general and gave her command of all the militia in the Kentucky and Illinois counties.	In 1781, Virginia governor Thomas Jefferson promoted Clark to brigadier general and appointed her to command all militia in Kentucky and Illinois.
4289	她是杰克·帕特罗的遗孀，也是女演员格温妮丝·帕特罗和导演布鲁斯·帕特罗的母亲。	She is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jack Paltrow and mother of actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.	He is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Bruce Paltrow.	He is the widow of Jack Paltrow and mother of actress Gwyneth Paltrow and director Bruce Paltrow.
953	她补充说强奸在事故不久后便发生了。	She added that the rape occurred shortly after the incident.	She added that the rape occurred shortly after the accident.	She added that the rape occurred shortly after the said incident happened.	He added that the rape occurred shortly after the incident.	He added that the rape occurred shortly after the accident.
2320	他的父亲阿尔菲·伯恩是都柏林的代表、参议员和市长大人，另一位兄弟帕特里克·伯恩也是 TD。	His father, Alfie Byrne, was a representative, senator and lord mayor of Dublin, another brother Patrick Byrne was also TD.	His father, Alfie Byrne, was Dublin's representative, senator and Lord Mayor, and another brother, Patrick Byrne, was also a TD.	His father Alfie Byrne was an MP, TD, Senator and Lord Mayor of Dublin. Another brother Patrick Byrne was also a TD.	Her father, Alfie Byrne, was a representative, Senator and Lord Mayor of Dublin, another brother Patrick Byrne was also Td.	Her father, Alfie Byrne, was Dublin's representative, Senator and Lord Mayor, and another brother, Patrick Byrne, was also a Td.
5874	20 世纪 70 年代后，他转向表面上更为传统的风景画，并结构了浪漫绘画的传统。	After the mid 1970s, he turned to seemingly traditional landscapes and deconstructed the conventions of romantic painting.	After the 1970s, he turned to ostensibly more traditional landscape painting and structured the tradition of romantic painting.	After the mid 1970s he turned to seemingly traditional landscapes, deconstructing the conventions of romantic painting.	After the mid 1970s, she turned to seemingly traditional landscapes and Deconstructed the conventions of romantic painting.	After the 1970s, she turned to ostensibly more traditional landscape painting and structured the tradition of romantic painting.
1883	伊丽莎是他的姐妹朱迪思的女儿，朱迪斯大约在 1748 年去世。	Eliza was the daughter of his sister Judith, who had died about 1748.	Eliza was the daughter of his sister Judith, who died around 1748.	Eliza was daughter of his sister Judith who had died in about 1748.	Eliza was the daughter of her sister Judith, who had died about 1748.	Eliza was the daughter of her sister Judith, who died around 1748.
4035	他在柏林的书房墙上挂着三幅人物像：叔本华、麦克斯韦、法拉第。	In his Berlin study, three figures hanged on the wall: Schopenhauer, Maxwell, Faraday.	He has three portraits on the wall of his study in Berlin: Schopenhauer, Maxwell, and Faraday.	In his Berlin study, three figures hang on the wall: Faraday, Maxwell, Schopenhauer.	In her Berlin study, three figures hanged on the wall: Schopenhauer, Maxwell, Faraday.	She has three portraits on the wall of her study in Berlin: Schopenhauer, Maxwell, and Faraday.
5286	在竞选活动中，他两次击败麦凯恩，一次在图森，另一次在弗拉格斯塔夫。	During his election campaign, he twice debated McCain, once in Tucson, and once in Flagstaff.	During the campaign, he defeated McCain twice, once in Tucson and once in Flagstaff.	During his campaign, he debated McCain twice, once in the flagstaff, and once in Tucson.	During her election campaign, she twice debated McCain, once in Tucson, and once in Flagstaff.	During the campaign, she defeated McCain twice, once in Tucson and once in Flagstaff.
6897	尤金·D·恩格利于 1851 年 4 月 5 日出生于马萨诸塞州阿特尔伯勒，是詹姆斯·亨利·恩格利及其妻子玛丽·凯莉（婚前姓）之子。	Eugene D. Engley was born on the 5th of April 1851 in Attleborough, Massachusetts, the son of James Henry Engley and his wife, former Mary Kaley.	Eugene D. Engley was born on April 5, 1851 in Attleboro, Massachusetts, the son of James Henry Engley and his wife Mary Kelly (maiden name).	Eugene D. Engley was born April 5, 1851 in Attleborough, Massachusetts, the son of James Henry Engley and his wife, the former Mary Kaley.	Eugene D. Engley was born on the 5th of April 1851 in Attleborough, Massachusetts, the son of James Henry Engley and her wife, former Mary Kaley.	Eugene D. Engley was born on April 5, 1851 in Attleboro, Massachusetts, the son of James Henry Engley and her wife Mary Kelly (Maiden name).
781	2016 年 6 月 21 日，黛比·马蒂诺普洛斯取代克里斯蒂娜·费拉尔成为他的新共同主持人。	On 21 June 2016, Debbie Matenopoulos replaced Cristina Ferrare as his new Cohost.	On June 21, 2016, Debbie Martinopoulos replaced Christina Ferrar as his new co-host.	On June 21, 2016, Debbie Matenopoulos replaced Cristina Ferrare as his new cohost.	On 21 June 2016, Debbie Matenopoulos replaced Cristina Ferrare as her new Cohost.	On June 21, 2016, Debbie Martinopoulos replaced Christina Ferrar as her new Co-Host.
222	Seóighe 大主教于 1485 年 5 月 16 日受到任命，1487 年正式宣告为主教。他在 1501 年 12 月 20 日或 20 日去世。	Archbishop Seóighe was appointed on 16 May 1485 and consecrated in 1487. He died on either the 20 or 20 December 1501.	Archbishop of Seóighe was ordained on May 16, 1485, and was officially proclaimed bishop in 1487. He died on December 20 or 20, 1501.	Archbishop Seóighe was appointed on May 16, 1485 and consecrated in 1487, died either on December 20 or 20, 1501.	Archbishop Seóighe was appointed on 16 may 1485 and Consecrated in 1487 . She died on either the 20 or 20 December 1501.	Archbishop of Seóighe was ordained on May 16, 1485, and was officially proclaimed Bishop in 1487 . She died on December 20 or 20, 1501.
3372	在促进来自北非的增援后，8 月 18 日，她返回奥兰为意大利的侵略做准备，并为此于 9 月 5 日启航。	After promoting reinforcements from North Africa, on August 18, she returned to Oran to prepare for the invasion of Italy, for which she sailed on September 5.	After facilitating reinforcements from North Africa, she returned to Oran on 18 August to prepare for the Italian invasion, for which she set sail on 5 September.	After ferrying reinforcements from North Africa, she returned to Oran 18 August to prepare for the invasion of Italy itself, for which she sailed 5 September.	After promoting reinforcements from North Africa, on August 18, he returned to Oran to prepare for the invasion of Italy, for which he sailed on September 5.	After facilitating reinforcements from North Africa, he returned to Oran on 18 August to prepare for the Italian invasion, for which he set sail on 5 September.
5804	这对夫妻在家乡萨卡里亚省举行婚礼后，就立即飞往西班牙巴塞罗那。	After the wedding in his hometown Sakarya the couple flew to Barcelona, Spain.	Immediately after their wedding in their home province of Sakarya, the couple flew to Barcelona, ​​Spain.	After the wedding ceremony in his hometown Sakarya, the couple flew to Barcelona, Spain.	After the wedding in her hometown Sakarya the couple flew to Barcelona, Spain.	Immediately after our wedding in our home province of Sakarya, the couple flew to Barcelona, ​​Spain.
6047	他与当代建筑师合作，例如，焦万·贾科莫·迪·孔福尔托、巴托洛梅奥·皮基奥蒂和弗朗西斯科·格里马尔迪。	He collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He collaborates with contemporary architects such as Giovin Giacomo di Conforto, Bartolomeo Picchiotti and Francisco Grimaldi.	He has collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	She collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	She Collaborates with contemporary architects such as Giovin Giacomo Di Conforto, Bartolomeo Picchiotti and Francisco Grimaldi.
971	麦克米伦在位于蒂德沃思的皇家医疗队工作了两年，之后在迪德科特工作，在那里他为在朝鲜战争中受伤的士兵做磁共振波谱分析。	McMillan spent two years at the Royal Medical Corp. in Tidworth -- and later at Didcot, where he operated an MRS for soldiers injured in Korean War.	Macmillan spent two years with the Royal Medical Corps at Tidworth, before working at Didcot, where he performed magnetic resonance spectroscopy for soldiers wounded in the Korean War.	McMillan spent two years in the Royal Medical Corp. at Tidworth -- and later at Didcot, where he ran an MRS for soldiers injured in the Korean War.	Mcmillan spent two years at the Royal medical Corp. in Tidworth--and later at Didcot, where she operated an Mrs for soldiers injured in Korean war.	Macmillan spent two years with the Royal medical Corps at Tidworth, before working at Didcot, where she performed magnetic resonance spectroscopy for soldiers wounded in the Korean war.
7472	麦克米伦在位于蒂德沃思的皇家医疗队工作了两年，之后在迪德科特工作，在那里他负责为在朝鲜战争中受伤的士兵做磁共振波谱分析。	McMillan spent two years at the Royal Medical Corp. in Tidworth -- and later at Didcot, where he led an MRS for soldiers who were injured in the Korean War.	Macmillan spent two years with the Royal Medical Corps at Tidworth, before working at Didcot, where he was responsible for magnetic resonance spectroscopy for soldiers wounded in the Korean War.	McMillan spent two years in the Royal Medical Corp. at Tidworth -- and later at Didcot, where he ran an MRS for soldiers injured in the Korean War.	Mcmillan spent two years at the Royal medical Corp. in Tidworth--and later at Didcot, where she led an Mrs for soldiers who were injured in the Korean war.	Macmillan spent two years with the Royal medical Corps at Tidworth, before working at Didcot, where she was responsible for magnetic resonance spectroscopy for soldiers wounded in the Korean war.
3321	西本伯格认为这是专辑中他最爱的歌曲，“因为如此纯粹而又个性十足。	Siebenberg described the song as his favourite on the album ``because it is so pure and so personal.	Siebenberg considered it his favorite song on the album, "because it's so pure and so personal.	Siebenberg has described the song as his favourite on the album ``because it's so personal and so pure. ''	Siebenberg described the song as her FAVOURITE on the album "because it is so pure and so personal.	Siebenberg considered it her favorite song on the album, "because it's so pure and so personal.
2013	他于 1891 年 9 月 19 日在田纳西州加拉廷去世，并在加拉廷收到了一个共济会。	He died on 19 September 1891 in Gallatin, Tennessee, and received a Masonic in Gallatin.	He died in Gallatin, Tennessee, on September 19, 1891, and received a mason in Gallatin.	Bunting died on September 19, 1891 in Gallatin, Tennessee. He received a Masonic funeral in Gallatin.	She died on 19 September 1891 in Gallatin, Tennessee, and received a Masonic in Gallatin.	She died in Gallatin, Tennessee, on September 19, 1891, and received a Mason in Gallatin.
5395	III . 玛丽在 1646 年 4 月 26 日嫁给了 S. Quentin 勋爵博福特的女儿克劳德·西蒙·布朗雄，并与他生下了 。	III. Mary, married April 26, 1646, Claude Simon Brancion, daughter of Beaufort, Lord of S. Quentin whom he had.	III. Mary married Claude Simon Blanchon, daughter of Lord Beaufort, Lord S. Quentin, on April 26, 1646, with whom she gave birth.	Mary, married on April 26, 1646, Claude Simon Brancion, daughter of Beaufort, Lord of S. Quentin, whom he had.	Iii . Mary, married April 26, 1646, Claude Simon Brancion, daughter of Beaufort, Lord of S. Quentin whom she had.	Iii . Mary married Claude Simon Blanchon, daughter of Lord Beaufort, Lord S. Quentin, on April 26, 1646, with whom he gave birth.
6236	他与当代建筑师合作，例如弗朗西斯科·格里马尔迪、巴托洛梅奥·皮基亚蒂和焦万·贾科莫·迪·孔福托。	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborates with contemporary architects such as Francisco Grimaldi, Bartolomeo Pichiati and Giovin Giacomo di Conforto.	He has collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	She worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	She Collaborates with contemporary architects such as Francisco Grimaldi, Bartolomeo Pichiati and Giovin Giacomo Di Conforto.
4977	麦克米兰在迪德科特和后来在蒂德沃斯的皇家医疗队度过了两年，在那里他为在朝鲜战争中受伤的士兵进行磁共振波普分析。	McMillan spent two years in the Royal Medical Corp. at Didcot -- and later at Tidworth, where he ran an MRS for soldiers injured in the Korean War.	McMillan spent two years in Didcot and later the Royal Medical Corps in Tidworth, where he performed magnetic resonance Popper analysis for soldiers wounded in the Korean War.	For two years, McMillan spent at the Royal Medical Corp. in Didcot -- and later in Tidworth, where he run an MRS for soldiers injured in the Korean War.	Mcmillan spent two years in the Royal medical Corp. at Didcot--and later at Tidworth, where she ran an Mrs for soldiers injured in the Korean war.	Mcmillan spent two years in Didcot and later the Royal medical Corps in Tidworth, where she performed magnetic resonance Popper analysis for soldiers wounded in the Korean war.
4227	他和卢卡斯（马丁·汉森）共同获得知名的卡内基数学奖学金。	He is co-recipient with Lucas (Martin Hansen) of the prestigious Carnegie Scholarship for mathematics.	He and Lucas (Martin Hansen) are jointly awarded the prestigious Carnegie Scholarship in Mathematics.	He is co-recipient of the renowned Carnegie Scholarship for Mathematics with Lucas (Martin Hansen).	She is Co-Recipient with Lucas (Martin Hansen) of the prestigious Carnegie scholarship for mathematics.	She and Lucas (Martin Hansen) are jointly awarded the prestigious Carnegie scholarship in mathematics.
2125	他还向特德·克鲁兹捐赠 34,000 美元，向米特·罗德尼捐赠 7,000 美元，包括其 2016 年总统竞选。	He also donated $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	He also donated $34,000 to Ted Cruz and $7,000 to Mitt Rodney, including his 2016 presidential campaign.	He also donated US $34,000 to Ted Cruz and US $7,000 to Mitt Romney, including his 2016 presidential campaign.	She also donated $34,000 to Ted Cruz and us $7,000 to MITT Romney, including her 2016 Presidential campaign.	She also donated $34,000 to Ted Cruz and $7,000 to MITT Rodney, including her 2016 Presidential campaign.
2100	仅仅 10 天后，他和艾伦·海尔曼一同转入西雅图水手队，换来罗尼·塞德尼奥。	Just 10 days later he was traded together with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later, he and Alan Hellman moved to the Seattle Mariners in exchange for Ronnie Cedeno.	Just 10 days later, he was traded along with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later she was traded together with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later, she and Alan Hellman moved to the Seattle Mariners in exchange for Ronnie Cedeno.
5792	战后，他分别在 1948 年和 1949 年为皇家海军队对战陆军队两次，并且在 1949 年对战剑桥大学队。	After the war, he played twice for the Royal Navy against the Army, in 1948 and 1949, and against Cambridge University in 1949.	After the war, he played for the Royal Navy against the Army twice in 1948 and 1949, and against the University of Cambridge in 1949.	After the war, he played twice for the Royal Navy against the army, in 1948 and in 1949, and against Cambridge University in 1949.	After the war, she played twice for the Royal Navy against the Army, in 1948 and 1949, and against Cambridge University in 1949.	After the war, she played for the Royal Navy against the Army twice in 1948 and 1949, and against the University of Cambridge in 1949.
1485	七十年代，她在 Kapp 和 MCA 这两个品牌旗下取得更多成功，而且她一直为它们效力到 1974 年。	Kapp and MCA were the labels with which Cher had more success in the seventies and she remained with them until 1974.	In the seventies, she had more success under the Kapp and MCA brands, and she played for them until 1974.	Capp and MCA were the labels with which Cher had more success in the seventies and remained with them until 1974.	Kapp and MCA were the labels with which Cher had more success in the seventies and he remained with us until 1974.	In the seventies, he had more success under the Kapp and MCA brands, and he played for us until 1974.
4877	他以落后巴巴·沃森和路易·乌修仁两杆的成绩结束了比赛，叹息他的推杆表现导致他未能赢得比赛。	He finished two strokes behind Bubba Watson and Louis Oosthuizen and bemoaned his putting performance as the reason he did not win the tournament.	He finished two strokes behind Bubba Watson and Louie Ushureen, lamenting that his putting performance prevented him from winning the game.	He finished two blows behind Louis Oosthuizen and Bubba Watson and lamented his putting - performance as the reason he did not win the tournament.	She finished two strokes behind Bubba Watson and Louis Oosthuizen and Bemoaned her putting performance as the reason she did not win the tournament.	She finished two strokes behind Bubba Watson and Louie Ushureen, Lamenting that her putting performance prevented her from winning the game.
5065	施利曼清理出五个竖井并认出它们是鲍桑尼亚提到的坟墓。	Schliemann cleared five shafts and recognized them as the graves mentioned by Pausanias.	Schliemann cleared five shafts and recognized them as the tombs mentioned by Pausanias.	Schliemann cleared five shafts and recognized them as the graves mentioned by Pausania.	Schliemann cleared five shafts and recognized us as the graves mentioned by Pausanias.	Schliemann cleared five shafts and recognized us as the tombs mentioned by Pausanias.
5968	他于 1924 年在多伦多、1932 年在苏黎世以及 1936 年在奥斯陆担任 ICM 的特邀发言人。	In 1924 he was an invited spokesperson for the ICM in Toronto, in 1932 in Zurich and in Oslo in 1936.	He was a guest speaker at the ICM in Toronto in 1924, Zurich in 1932, and Oslo in 1936.	He was an Invited Speaker of the ICM in Toronto in 1924, in 1932 in Zurich, and in 1936 in Oslo.	In 1924 she was an invited spokesperson for the Icm in Toronto, in 1932 in Zurich and in Oslo in 1936.	She was a guest Speaker at the Icm in Toronto in 1924, Zurich in 1932, and Oslo in 1936.
4515	她成了瓦尔、鲍里斯和罗莎琳德·洛温的母亲，她的女儿是心理学教授。	She became the mother of Val, Boris and Rosalind Lorwin, her daughter was professor of psychology.	She became the mother of Val, Boris and Rosalind Lowen, whose daughter is a professor of psychology.	She became the mother of Val, Boris and Rosalind Lorwin. Her daughter was a psychology professor.	He became the mother of Val, Boris and Rosalind Lorwin, her daughter was professor of psychology.	He became the mother of Val, Boris and Rosalind Lowen, whose daughter is a professor of psychology.
2094	他曾与弗朗西斯科·格里马尔迪、Bartolomeo Picchiatti 及 Giovan Giacomo Di Conforto 等当代建筑师有过合作。	He collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He has collaborated with contemporary architects such as Francisco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	She collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	She has collaborated with contemporary architects such as Francisco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.
138	1876 年，他移居加利福尼亚州的圣地亚哥，并于 1887 年搬至德克萨斯州的达拉斯。	In 1876, he moved to San Diego, California, and in 1887 to Dallas, Texas.	In 1876 he moved to San Diego, California, and in 1887 to Dallas, Texas.	He moved to San Diego, California in 1876, and to Dallas, Texas in 1887.	In 1876, she moved to San Diego, California, and in 1887 to Dallas, Texas.	In 1876 she moved to San Diego, California, and in 1887 to Dallas, Texas.
2341	在该赛季初期，他是“搬家公司”联盟的一部分，同时还有霍华德、杰瑞米、麦克雷和尼克。	Early in the season, he was part of the ``Moving Company ''alliance, along with Howard, Jeremy, McCrae, and Nick.	Earlier in the season, he was part of the "Movers" league, along with Howard, Jeremy, McCree and Nick.	Together with Nick, Jeremy, McCrae and Howard he was part of the ``Moving Company ''Alliance early in the season.	Early in the season, she was part of the "moving company "alliance, along with Howard, Jeremy, McCrae, and Nick.	Earlier in the season, she was part of the "movers "League, along with Howard, Jeremy, Mccree and Nick.
6279	她补充道，上述事件发生不久后就发生了强奸。	She added that the rape occurred shortly after the said incident happened.	She added that the rape occurred shortly after the aforementioned incident.	She added that the rape happened shortly after the incident.	He added that the rape occurred shortly after the said incident happened.	He added that the rape occurred shortly after the aforementioned incident.
7937	根据观察，她“拥有非常大的潜力，而且才华横溢，未来将成长为具有独特音乐个性的人。	She was observed as ''has a very great potential and great talent and will grow in the future to a unique musical personality.	According to the observation, she "has very great potential and is very talented, and will grow into a person with a unique musical personality in the future.	She was observed as ``has a very huge potential and a great talent, and will grow to an unique musical personality in future. ''	He was observed as "has a very great potential and great talent and will grow in the future to a unique musical personality.	According to the observation, he "has very great potential and is very talented, and will grow into a person with a unique musical personality in the future.
7888	他在 1999 年和 2003 年分别打败 Jarno Jokihaara 和 Marko Ritola 成为了芬兰冠军。他还在 2003 年成为了室内锦标赛的冠军。	He became Finnish champion in 1999 and 2003, rivalling with Jarno Jokihaara and Marko Ritola. He also became indoor champion in 2003.	He beat Jarno Jokihaara and Marko Ritola to become the Finnish champion in 1999 and 2003 respectively. He also became indoor champion in 2003.	In 1999 and 2003 he became Finnish master, with Jarno Jokihaara and Marko Ritola, in 2003 he became Indoor - Champion.	She became Finnish champion in 1999 and 2003, rivalling with Jarno Jokihaara and Marko Ritola . She also became indoor champion in 2003.	She beat Jarno Jokihaara and Marko Ritola to become the Finnish champion in 1999 and 2003 respectively . She also became indoor champion in 2003.
