1100	曲はマイケル・バインホルムをドラムに迎え、トミー・リーによって製作された。	The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Lee with Michael Weinholm on drums.	The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.	The tracks were produced by Justin Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Alexander with Michael Weinholm on drums.
5318	「トーントン・キャッスル」は 8 月 1 日にペナン州に、10 月 31 日にリオデジャネイロに到着しました。	``Taunton Castle ''was at Penang on 1 August and Rio de Janeiro on 31 October.	Taunton Castle arrived in Penang on 1 August and Rio de Janeiro on 31 October.	``Taunton Castle ''was in Penang on August 1 and on October 31 in Rio de Janeiro.	``Taunton Castle ''was at Penang on 1 August and Rio Lucas Janeiro on 31 October.	Taunton Castle arrived in Penang on 1 August and Rio Gregory Janeiro on 31 October.
1829	テイラーはシカゴ・ホワイト・ソックス、ミルウォーキー、アトランタ・ブレーブスのスカウトとして、亡くなるまで野球に関わり続けた。	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Taylor remained involved in baseball as a scout for the Chicago White Sox, Milwaukee and Atlanta Braves until his death.	Taylor remained active in baseball as a scout for the Atlanta Braves and the Milwaukee and Chicago White Sox until his death.	Vanessa remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Hailey remained involved in baseball as a scout for the Chicago White Sox, Milwaukee and Atlanta Braves until his death.
6897	ユージーン・D・イングリーは 1851 年 4 月 5 日にマサチューセッツ州アットルバラで、ジェームス・ヘンリー・イングリーとその妻、以前のメアリー・ケイリーの息子として生まれました。	Eugene D. Engley was born on the 5th of April 1851 in Attleborough, Massachusetts, the son of James Henry Engley and his wife, former Mary Kaley.	Eugene D. Inglee was born in Attleborough, Massachusetts, on April 5, 1851, the son of James Henry Inglee and his wife, formerly Mary Cayley.	Eugene D. Engley was born April 5, 1851 in Attleborough, Massachusetts, the son of James Henry Engley and his wife, the former Mary Kaley.	Eugene D. Engley was born on the 5th of April 1851 in Attleborough, Massachusetts, the son of Aiden Henry Engley and his wife, former Mary Kaley.	Eugene D. Inglee was born in Attleborough, Massachusetts, on April 5, 1851, the son of James Edward Inglee and his wife, formerly Mary Cayley.
5781	メロディー・クリッテンデンは、ソロ活動を行うため 2004 年にグループを脱退し、ニコルは 2005 年の大部分グループで歌いました。	Melodie Crittenden left the group in 2004 to pursue a solo career, and for most of 2005 Nicol sang with the group.	Melody Crittenden left the group in 2004 to pursue a solo career, and Nicole sang with the group for most of 2005.	Melodie Crittenden left the group in 2004 to follow a solo career, and for most of the year 2005 Nicol sang with.	Michelle Crittenden left the group in 2004 to pursue a solo career, and for most of 2005 Nicol sang with the group.	Melody Crittenden left the group in 2004 to pursue a solo career, and Nicole sang with the group for most of 2005.
1304	さらに、チャンピオンのジャック・スワガー、ザ・ミズ、コフィ・キングストンによる、ユナイテッドステイツ王座をめぐるトリプルスレットマッチが開催された。	Furthermore, a triple threat match for the United States Championship was between Champion Jack Swagger, The Miz and Kofi Kingston.	Additionally, there was a triple threat match between champion Jack Swagger, The Miz and Kofi Kingston for the United States Championship.	Next was a Triple Threat match for the United States Championship between champion Jack Swagger, The Miz and Kofi Kingston.	Furthermore, a triple threat match for the United States Championship was between Champion Justin Swagger, The Miz and Kofi Kingston.	Additionally, there was a triple threat match between champion Jack Swagger, The Miz and Carlos Kingston for the United States Championship.
5557	マレットは、1664 年までにバークシャー地方のレットクーム レジスのジョン・アルドワースの未亡人で、フィーフィールド バークシャーのトーマス・ホワイトの娘、メアリー・アルドワースと結婚しました。	Malet married Mary Aldworth, widow of John Aldworth of Letcombe Regis, Berkshire and daughter of Thomas White of Fyfield Berkshire by 1664.	By 1664 Mallett had married Mary Aldworth, widow of John Aldworth of Wretcomb Regis in Berkshire and daughter of Thomas White of Feefield Berkshire.	Malet married Mary Aldworth, the widow of John Aldworth by Letcombe Regis, Berkshire and daughter of Thomas White of Fyfield Berkshire until 1664.	Malet married Andrea Aldworth, widow of John Aldworth of Letcombe Regis, Berkshire and daughter of Thomas White of Fyfield Berkshire by 1664.	By 1664 Mallett had married Nicole Aldworth, widow of John Aldworth of Wretcomb Regis in Berkshire and daughter of Thomas White of Feefield Berkshire.
5218	マーク・アレンはマーティン・ゴールドとの決勝戦を 1 -- 0 (104 -- 0) で勝利しました。	Mark Allen won the final 1 -- 0 (104 -- 0) against Martin Gould.	Mark Allen won the final against Martin Gold 1 -- 0 (104 -- 0).	Mark Allen won the final against Martin Gould with 1: 0 (104 -- 0).	Mark Allen won the final 1 -- 0 (104 -- 0) against Stephen Gould.	Mark Allen won the final against William Gold 1 -- 0 (104 -- 0).
6509	ヨナス・ビョルクマンとファブリス・サントロは、マルティン・ダムとラデク・ステパネクとの決勝戦を 6-2、6-4 で勝利しました。	Jonas Björkman and Fabrice Santoro won 6-2, 6-4 against Martin Damm and Radek Štěpánek in the finals.	Jonas Björkmann and Fabrice Santoro won the finals against Martin Damm and Radek Stepanek 6-2, 6-4.	Jonas Björkman and Fabrice Santoro won in the final 6 - 2, 6 - 4, against Martin Damm and Radek Štěpánek.	Anthony Björkman and Fabrice Santoro won 6-2, 6-4 against Martin Damm and Radek Štěpánek in the finals.	Austin Björkmann and Fabrice Santoro won the finals against Martin Damm and Radek Stepanek 6-2, 6-4.
6	ケイシーと夫のピート・ビール (ピーター・ディーン) は経済的に安定している。	Kathy and her husband Pete Beale (Peter Dean) are stable financially.	Casey and her husband Pete Beale (Peter Dean) are financially stable.	Kathy and her husband Peter Dean (Pete Beale) are financially stable.	Kathy and her husband Pete Beale (Alex Dean) are stable financially.	Casey and her husband Pete Beale (Peter Cameron) are financially stable.
4021	後に、アングレーム郡アデマルへの攻撃時に、アンドリューはリチャードの力になります。	Later, Andrew would be Richard's forces during the attack on Adhemar, count of Angoulême.	Later, Andrew comes to Richard's strength during the attack on Adhemal, County Angoulême.	Later, during the attack on Adhemar, Count of Angoulême, Andrew was to be Richard's forces.	Later, Andrew would be Charles's forces during the attack on Adhemar, count of Angoulême.	Later, Andrew comes to Lucas's strength during the attack on Adhemal, County Angoulême.
3471	1937 年にジェラルド・ハードは妻のマリア、息子のハクスリー、友人のマシュー・ハクスリーと共にハリウッドに移住した。	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	In 1937 Gerald Hurd moved to Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, his son Huxley and his friend Matthew Huxley.	In 1937, Mark Heard moved to Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	In 1937 Gerald Hurd moved to Hollywood with his wife Katie, son Huxley, and friend Matthew Huxley.
4262	ロイは 1963 年にインド共産党に入党し、バンズドローニのコルカタ地域で労働組合運動を主導した。	Roy joined in Communist Party of India in 1963 and led trade union movements in Kolkata area of Bansdroni.	Roy joined the Communist Party of India in 1963 and led the trade union movement in the Kolkata area of ​​Banzudroni.	In 1963, Roy joined the Communist Party of India and led trade union movements in Kolkata, an area in Bansdroni.	Eric joined in Communist Party of India in 1963 and led trade union movements in Kolkata area of Bansdroni.	Brandon joined the Communist Party of India in 1963 and led the trade union movement in the Kolkata area of ​​Banzudroni.
3622	ロビンズは 1933 年にコヴェントリーで双子の兄弟デビッドと共に生まれた。二人はチャールズ・ロビンズとジェサミン・ロビンズ夫妻の 12 人の子供のうち、8 番目と 9 番目にあたる。	Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.	Robbins was born in Coventry in 1933 with his twin brother David. The two are the eighth and ninth of his twelve children of Charles and Jessamine Robbins.	Robbins was born on 21 September 1933 in Coventry, with his twin David, the eighth and ninth child of the twelve of Charles and Jessamine Robbins.	Robbins was born in Coventry on 21 September 1933, with his twin Scott, the eighth and ninth children of twelve by Charles and Jessamine Robbins.	Robbins was born in Coventry in 1933 with his twin brother David. The two are the eighth and ninth of his twelve children of Patrick and Jessamine Robbins.
6293	しかしながら、マドンナ、プリンス、マイケル・ジャクソンはそのアルバムに影響を与えました。	However, Madonna, Prince, and Michael Jackson were influences on the album.	However, Madonna, Prince and Michael Jackson influenced that album.	Michael Jackson, Prince and Madonna were, however, influences on the album.	However, Madonna, Prince, and Michael Peter were influences on the album.	However, Elizabeth, Prince and Michael Jackson influenced that album.
5726	「エンジェル・アイズ」は作曲アール・ブレント、作詞マット・デニスの 1946 年の有名な曲である。	``Angel Eyes ''is a 1946 popular song composed by Earl Brent, with lyrics by Matt Dennis.	"Angel Eyes" is a famous 1946 song by music Earl Brent and lyrics by Matt Dennis.	``Angel Eyes ''is a popular song of 1946, composed by Earl Brent, with texts by Matt Dennis.	``Angel Eyes ''is a 1946 popular song composed by Earl Aaron, with lyrics by Matt Dennis.	"Angel Eyes" is a famous 1946 song by music Cameron Brent and lyrics by Matt Dennis.
4656	スリナムで著名な女性の中でも、ジェニファー・サイモン、マレイケ・ジャワラパサド、エリザベス・サムソン、シンシア・マクロード、ルース・ウェイデンボスなどが特に有名です。	Among the most prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Ruth Wijdenbosch.	Among the prominent women in Suriname are Jennifer Simon, Mareike Jawarapasad, Elizabeth Samson, Cynthia McLeod and Ruth Weidenbos.	Among the prominent women of Suriname are Elisabeth Samson, Cynthia McLeod, Marijke Djwalapersad, Jennifer Simons, and Ruth Wijdenbosch.	Among the most prominent women of Suriname are Mary Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Ruth Wijdenbosch.	Among the prominent women in Suriname are Amy Simon, Mareike Jawarapasad, Elizabeth Samson, Cynthia McLeod and Ruth Weidenbos.
4894	ドイツ ツーリングカー選手権中、アウディ V8 はずっと小型で軽量のメルセデス 190、BMW M3 やわずかに小型のオペル オメガ 3000 と競争しました。	During its presence at DTM the Audi V8 competed with much smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Omega 3000.	During the German Touring Car Championship, the Audi V8 competed with the much smaller and lighter Mercedes 190, the BMW M3 and the slightly smaller Opel Omega 3000.	The Audi V8 competed with much smaller and lighter Mercedes 190, BMW M3 and somewhat smaller Opel Omega 3000 during its DTM presence.	During its presence at DTM the Audi V8 competed with much smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Riley 3000.	During the German Touring Car Championship, the Audi V8 competed with the much smaller and lighter Mercedes 190, the BMW M3 and the slightly smaller Opel Jessica 3000.
5653	シャー・アハメド・アクンザダ (シャー・ムハンマド・アクンザダとしても知られている) は、2001 年から 2005 年までアフガニスタン、ヘルマンド州知事を務めた部族長である。	Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Shah Ahmed Akunzada (also known as Shah Muhammad Akunzada) is a tribal chief who served as Governor of Helmand Province, Afghanistan from 2001 to 2005.	Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who was the governor of Helmand in Afghanistan from 2001 to 2005.	Sher Jack Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.	Shah Travis Akunzada (also known as Shah Muhammad Akunzada) is a tribal chief who served as Governor of Helmand Province, Afghanistan from 2001 to 2005.
5539	9 月 17 日に、アレオーラはカリフォルニア州ロサンゼルスのステープルズ・センターで行われるホワン・サンドバル対サウル・アルバレスの前座試合でアルフォンソ・ゴメスと対戦する予定だ。	On September 17, Arreola will perform at the Staples Center in Los Angeles, California, against Alfonso Gomez at the undercard of Juan Sandoval vs. Saul Alvarez.	On Sept. 17, Areola will take on Alfonso Gomez in the opening match between Juan Sandoval and Saul Alvarez at the Staples Center in Los Angeles, California.	On September 17, Arreola will face Alfonso Gomez on the undercard of Juan Sandoval vs. Saul Alvarez at the Staples Center in Los Angeles, California.	On September 17, Arreola will perform at the Staples Center in Los Angeles, California, against Alfonso Gomez at the undercard of Juan Sandoval vs. Zachary Alvarez.	On Sept. 17, Areola will take on Alfonso Gomez in the opening match between Elijah Sandoval and Saul Alvarez at the Staples Center in Los Angeles, California.
1710	「ダグラスの世界一周」は 1931 年のアメリカのプレコード時代のドキュメンタリ フィルムであり、ダグラス・フェアバンクとビクター・フレミングが監督し、ロバート・E・シャーウッドが脚本を手掛けました。	Around the World in 80 Minutes with Douglas Fairbanks is a 1931 American Pre-Code documentary film directed by Douglas Fairbanks and Victor Fleming and written by Robert E. Sherwood.	Douglas Around the World is a 1931 American prerecorded-era documentary film directed by Douglas Fairbank and Victor Fleming and written by Robert E. Sherwood.	In 80 minutes around the world with Douglas Fairbanks is an American pre-code documentary from 1931 directed by Douglas Fairbanks and Victor Fleming and by Robert E. Sherwood.	Around the World in 80 Minutes with Douglas Fairbanks is a 1931 American Pre-Code documentary film directed by Douglas Fairbanks and Victor Fleming and written by Robert E. Derek.	Douglas Around the World is a 1931 American prerecorded-era documentary film directed by Douglas Fairbank and Victor Fleming and written by Robert E. Dylan.
5503	2016 年 7 月、ウィニー・ベルロック作の同名小説を基にした『シークレット・エージェント』にジョセフ・コンラッド役で出演しました。	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the same novel by Winnie Verloc.	In July 2016, he starred as Joseph Conrad in The Secret Agent, based on the novel of the same name by Winnie Bellrock.	In July 2016, she appeared as Joseph Conrad in ``The Secret Agent '', based on the eponymous novel by Winnie Verloc.	In July 2016, she appeared as Jonathan Conrad in ``The Secret Agent '', based on the same novel by Winnie Verloc.	In July 2016, he starred as Joseph Noah in The Secret Agent, based on the novel of the same name by Winnie Bellrock.
4699	彼は最初の準男爵であるヘンリー・スレイル卿の死後に産まれました。彼の母親は醸造家ジョン・レイドの姉でした。	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was born after the death of Sir Henry Thrail, the first baronet. His mother was the older sister of brewer John Reid.	He was the posthumous child of Sir Henry Thrale, 1st Baronet, his mother was the sister of the brewer John Lade.	He was born the posthumous child of Sir Mason Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was born after the death of Sir Henry Thrail, the first baronet. His mother was the older sister of brewer Zachary Reid.
2398	ハンターはすぐにその父ザック・マクガイアー (チャーリー・クラウゼン) およびエヴィーに告げました。	Hunter immediately tell his father, Zac MacGuire (Charlie Clausen), and Evie.	Hunter immediately told his father Zach McGuire (Charlie Clausen) and Evie.	Tell him immediately his father, Charlie Clausen (Zac MacGuire) and Evie.	Hunter immediately tell his father, Matthew MacGuire (Charlie Clausen), and Evie.	Hunter immediately told his father Zach McGuire (Matthew Clausen) and Evie.
2100	わずか 10 日後に、彼はアーロン・ハイルマンと共に、ロニー・セデーニョとのトレード要員としてシアトル・マリナーズに移籍した。	Just 10 days later he was traded together with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later, he, along with Aaron Heilmann, was traded to the Seattle Mariners for Ronnie Cedeño.	Just 10 days later, he was traded along with Aaron Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later he was traded together with Jonathan Heilman to the Seattle Mariners for Ronny Cedeño.	Just 10 days later, he, along with Mason Heilmann, was traded to the Seattle Mariners for Ronnie Cedeño.
1736	1880 年にキューバのマタンサスでフェルナンド・ハイドリヒによって開拓されました。	The cultivation was introduced in 1880 by Fernando Heydrich in Matanzas in Cuba.	Pioneered by Fernando Heydrich in Matanzas, Cuba in 1880.	In Cuba its cultivation was introduced in 1880, by Fernando Heydrich in Matanzas.	The cultivation was introduced in 1880 by John Heydrich in Matanzas in Cuba.	Pioneered by Joshua Heydrich in Matanzas, Cuba in 1880.
5407	5 月に、スペンサー・マクラーレンは、世間に認められたキャラクターであるサリー・フレッチャー（ケイト・リッチー）の恋愛対象であるキーラン・フレッチャーとして到着しました。	In May, Spencer McLaren arrived as Kieran Fletcher, a love interest for the established character Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Fletcher, the love interest of publicized character Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Fletcher, a love interest for established character Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Jackson, a love interest for the established character Sally Jackson (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Adrian, the love interest of publicized character Sally Adrian (Kate Ritchie).
2546	1966 年、レスリー・ワディントンは名門メディア、グラナダのメンバーであるアレックス・バーンスタインの支援を得てロンドンのコーク・ストリートでギャラリーを開始しました。	In 1966, he started his own gallery at Cork Street in London, Leslie Waddington had the support of Alex Bernstein, a member of the media dynasty Granada.	In 1966 Leslie Waddington started a gallery in Cork Street, London with the support of Alex Bernstein, member of the prestigious media Granada.	In 1966, started his own gallery in London's Cork Street, Leslie Waddington had the backing of Alex Bernstein, a member of the Granada media dynasty.	In 1966, he started his own gallery at Cork Street in London, Nicole Waddington had the support of Alex Bernstein, a member of the media dynasty Granada.	In 1966 Leslie Waddington started a gallery in Cork Street, London with the support of Jackson Bernstein, member of the prestigious media Granada.
863	クレイグには 2 人の子供がおり、元モデル、TV タレント、および『ニュージーランズ・ネクソト・トップモデル』の審査員であるサラ・テトロと結婚しました。	Craig has two children and was married to Sara Tetro, the former model, television presenter and judge on New Zealand's Next Top Model.	Craig has two children and is married to Sarah Tetro, a former model, TV personality, and New Zealand's Next Top Model judge.	Craig has two children and was married to former model, television host and judge on New Zealand's Next Top Model, Sara Tetro.	Craig has two children and was married to Christina Tetro, the former model, television presenter and judge on New Zealand's Next Top Model.	Craig has two children and is married to Erica Tetro, a former model, TV personality, and New Zealand's Next Top Model judge.
178	ネッド・ランブトンとマクウェンは 1995 年に離婚した。そのあと彼女はミュージシャンのジュールズ・ホランドと結婚している。	Ned Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and Mcwen divorced in 1995. She later married musician Jules Holland.	Ned Lambton and McEwen divorced in 1995, and since then she has married the musician Jools Holland.	Justin Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and Mcwen divorced in 1995. She later married musician Isaac Holland.
308	彼はクラレンス・パジット卿、アルフレッド・パジット卿、ジョージ・パジット卿の腹違いの兄弟である。	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Sir Clarence Passitt, Sir Alfred Passitt and Sir George Passitt.	He was the half-brother of Lord Alfred Paget, Lord George Paget and Lord Clarence Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord Liam Paget.	He is the half-brother of Sir Derek Passitt, Sir Alfred Passitt and Sir George Passitt.
4307	ウィリアム・ハリスは、ウィリアム・ハリスの第 2 子であり、彼の兄クリストファー・ハリスはオークハンプトンの MP でした。	William Harris was the second son of William Harris, his elder brother Christopher Harris was MP for Okehampton.	William Harris is the second child of William Harris and his older brother Christopher Harris was an Oakhampton MP.	Harris was the second son of William Harris. His elder brother, Christopher Harris, was MP for Okehampton.	Robert Harris was the second son of Robert Harris, his elder brother Christopher Harris was MP for Okehampton.	William Harris is the second child of William Harris and his older brother Edward Harris was an Oakhampton MP.
2320	彼の父、アルフィー・バーンは、ダブリンの下院議員、上院議員、市長を務めた。彼の兄弟であるパトリック・バーンも TD であった。	His father, Alfie Byrne, was a representative, senator and lord mayor of Dublin, another brother Patrick Byrne was also TD.	His father, Alfie Byrne, was a Member of Parliament, Senator and Mayor of Dublin. His brother Patrick Byrne also he was a TD.	His father Alfie Byrne was an MP, TD, Senator and Lord Mayor of Dublin. Another brother Patrick Byrne was also a TD.	His father, Alfie Byrne, was a representative, senator and lord mayor of Dublin, another brother Ethan Byrne was also TD.	His father, Alfie Byrne, was a Member of Parliament, Senator and Mayor of Dublin. His brother Jacob Byrne also he was a TD.
7031	アメリカ人の開拓者、ジョン・スッター（1803 - 1880）は、1839 年 8 月に、他のヨーロッパ-スイス系の入植者たちと共にアルタ カリフォルニアに到着しました。	The American pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	American pioneer John Sutter (1803-1880) arrived in Alta California in August 1839 along with other European-Swiss settlers.	The American pioneer John Sutter (1803 -- 1880) arrived in August 1839 together with other euros - Swiss settlers in Alta California.	The American pioneer Nathan Sutter (1803 -- 1880) arrived in Alta California with other Euro-Swiss settlers in August 1839.	American pioneer Nicholas Sutter (1803-1880) arrived in Alta California in August 1839 along with other European-Swiss settlers.
3195	彼はリチャード・バイフィールドの 2 度目の妻との間にできた息子でニコラス・バイフィールドは彼の異母 (異父) 兄にあたる。	He was a son of Richard Byfield by his second wife, and Nicholas Byfield was his elder half-brother.	He is the son of Richard Byfield's second wife and Nicholas Byfield is his half-brother.	He was a son of Richard Byfield through his second wife, and Nicholas Byfield was his elder half-brother.	He was a son of Ian Byfield by his second wife, and Nicholas Byfield was his elder half-brother.	He is the son of Richard Byfield's second wife and Austin Byfield is his half-brother.
3802	フランク・ジェームズは分離独立運動を展開する会社から地元の Drew Lobbs Army に招集され、1861 年 8 月に起きたウィルソンズ・クリークの戦いで戦闘に加わった。	Frank James joined a secessionist company recruited for the local Drew Lobbs Army, and fought at the Battle of Wilson's Creek in August 1861.	Frank James was drafted into the local Drew Lobbs Army by a separatist company and fought in the Battle of Wilson's Creek in August 1861.	Frank James joined a secessionist company, recruited for the local Drew Lobbs Army and fought in the Battle of Wilson's Creek in August 1861.	Timothy James joined a secessionist company recruited for the local Drew Lobbs Army, and fought at the Battle of Wilson's Creek in August 1861.	Christian James was drafted into the local Drew Lobbs Army by a separatist company and fought in the Battle of Wilson's Creek in August 1861.
1368	「Laurie」はユニセックスの名前である。男性の場合、「Lawrence」または「Laurence」 の短縮形 (愛称) と見なされることがある。	Laurie is a unisex given name. Among males, it can be a short form (hypocorism) of Lawrence or Laurence.	"Laurie" is a unisex name. For men, it is sometimes considered "Lawrence" or an abbreviation (nickname) of "Laurence".	Laurie is a unisex name that can be a short form (hypocorism) of Lawrence or Laurence among males.	Laurie is a unisex given name. Among males, it can be a short form (hypocorism) of Ethan or Laurence.	"Laurie" is a unisex name. For men, it is sometimes considered "Liam" or an abbreviation (nickname) of "Laurence".
4556	ノーマン・メランクトン・ゲディーズ (本名ノーマン・ベル・ゲディーズ、1893 年 4 月 27 日～ 1958 年 5 月 8 日) は、アメリカ人の劇場・工業デザイナーである。	Norman Melancton Geddes, born Norman Bel Geddes (April 27, 1893 - May 8, 1958), was an American American theatre and industrial designer.	Norman Melankton Geddys (real name Norman Bell Geddys, April 27, 1893 – May 8, 1958) was an American theater and industrial designer.	Norman Melancton Geddes, born Norman Bel Geddes, (April 27, 1893 -- May 8, 1958) was an American theatrical and industrial designer.	Luis Melancton Geddes, born Luis Bel Geddes (April 27, 1893 - May 8, 1958), was an American American theatre and industrial designer.	Matthew Melankton Geddys (real name Matthew Bell Geddys, April 27, 1893 – May 8, 1958) was an American theater and industrial designer.
3016	2017 年 7 月に、エルマー・マカーディーはネイト・ディメオと『メモリー・パレス』のエピソードのテーマでした。	In July 2017, Elmer McCurdy was the theme of an episode of ``The Memory Palace ''with Nate DiMeo.	In July 2017, Elmer McCurdy was the subject of an episode of Memory Palace with Nate DiMeo.	In July 2017, Elmer McCurdy was the subject of an episode of ``The Memory Palace ''with Nate DiMeo.	In July 2017, Elmer McCurdy was the theme of an episode of ``The Memory Palace ''with Patrick DiMeo.	In July 2017, Elmer McCurdy was the subject of an episode of Memory Palace with Dustin DiMeo.
6449	こちらもハリウッド・アーツの学生であるマイケル・エリック・レイド (シンジン・ヴァン・クリーフ) はマシンの不調に苦しめられていたとき、ジャクージの手に落ちた。	Michael Eric Reid (Sinjin Van Cleef), another student at Hollywood Arts, falls into the jacuzzi, when a surfing machine malfunctions.	Michael Eric Reid (Singin Van Cleef), also a Hollywood Arts student, falls into the hands of the Jacuzzi when he is plagued by machine malfunction.	Sinjin Van Cleef (Michael Eric Reid), another student at Hollywood Arts, falls into the Jacuzzi when a surfing machine fails.	William Eric Reid (Sinjin Van Cleef), another student at Hollywood Arts, falls into the jacuzzi, when a surfing machine malfunctions.	Michael David Reid (Singin Van Cleef), also a Hollywood Arts student, falls into the hands of the Jacuzzi when he is plagued by machine malfunction.
5000	その時点で、その土地の持ち主はレスリー・バーノン・カルコットであり、ジョンソン氏と 99 年間のリース契約に合意しました。	At that time, the owner of the country was Leslie Vernon Calcutt, and he agreed to a 99-year lease with Mr Johnson.	At that point, the owner of the land was Leslie Vernon Calcott, who agreed to a 99-year lease with Mr. Johnson.	The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Johnson.	At that time, the owner of the country was Leslie Lucas Calcutt, and he agreed to a 99-year lease with Mr Johnson.	At that point, the owner of the land was Erica Vernon Calcott, who agreed to a 99-year lease with Mr. Johnson.
3714	ロストボーイは、BBC によって製作された 1978 年の連続ドキュメンタリードラマで、著者はロドニー・ベネット、監督はアンドリュー・バーキンです。	The Lost Boys is a 1978 docudrama mini-series produced by the BBC, written by Rodney Bennett, and directed by Andrew Birkin.	Lost Boys is a 1978 documentary drama series produced by the BBC, written by Rodney Bennett and directed by Andrew Birkin.	The Lost Boys is a docudrama miniseries produced by the BBC in 1978, written by Rodney Bennett and directed by Andrew Birkin.	The Lost Boys is a 1978 docudrama mini-series produced by the BBC, written by Rodney Dustin, and directed by Andrew Birkin.	Lost Boys is a 1978 documentary drama series produced by the BBC, written by Rodney Kyle and directed by Andrew Birkin.
606	イボンヌ・クーラゴングはフランソワーズ・デュールを 6 -- 4 、6 - 2 で下した。	Evonne Goolagong defeated Françoise Dürr by 6 -- 4, 6 - 2.	Yvonne Coolagong defeated Françoise Durre 6-4, 6-2.	Evonne Goolagong defeated Françoise Dürr 6 -- 4, 6 -- 2.	Catherine Goolagong defeated Françoise Dürr by 6 -- 4, 6 - 2.	Rachel Coolagong defeated Françoise Durre 6-4, 6-2.
4967	2017 年 7 月に、ネイト・ディメオはエルマー・マカーディーと共に「ザ・メモリー・パレス」のエピソードに取り上げられた。	In July 2017, Nate DiMeo was the subject of an episode ``The Memory Palace ''with Elmer McCurdy.	In July 2017, Nate DiMeo was featured in an episode of "The Memory Palace" alongside Elmer McCurdy.	In July 2017, Nate DiMeo was the subject of an episode of ``The Memory Palace ''with Elmer McCurdy.	In July 2017, John DiMeo was the subject of an episode ``The Memory Palace ''with Elmer McCurdy.	In July 2017, Jayden DiMeo was featured in an episode of "The Memory Palace" alongside Elmer McCurdy.
5238	この映画では、ジェムビー・アルマザンがメアリー、ベルナルド・ガルニカ・クルスがデイビッド、ジョナサン・ディーアス・アングロがアレックスを演じました。	The film Stars Jembie Almazan as Mary, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Alex.	In the film, Jemby Almazán played Mary, Bernardo Garnica Cruz played David, and Jonathan Diaz Angulo played Alex.	The film stars Jembie Almazan as Maria, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Alex.	The film Stars Jembie Almazan as Mary, Bernardo Garnica Cruz as David and Luis Diaz Angulo as Alex.	In the film, Jemby Almazán played Mary, Bernardo Garnica Cruz played David, and Kevin Diaz Angulo played Alex.
2066	マイケル・リーベル・シニアが両親とペンシルベニア州エリーからドイツにやって来たのは 14 歳のときであった。	Michael Liebel Sr. was 14 years old when his parents came to Germany from Erie to Pennsylvania.	Michael Leavell Sr. was 14 years old when he and his parents came to Germany from Erie, Pennsylvania.	Michael Michael Liebel Sr. was 14 years old when his parents came from Erie to Pennsylvania in Germany.	Steven Liebel Sr. was 14 years old when his parents came to Germany from Erie to Pennsylvania.	Gabriel Leavell Sr. was 14 years old when he and his parents came to Germany from Erie, Pennsylvania.
