3415	Selon le Bureau de recensement des États-Unis, Southport a une superficie totale de , dont des terres et , ou 0,91 %, est de l'eau.	According to the United States Census Bureau, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of ​​, of which is land and , or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of which land is and, or 0.91%, is water.	According, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the has a total area of ​​, of which is land and, or 0.91%, is water.
5898	Le standard de la race décrit le chien comme ayant un fort tempérament et une forte individualité, méfiant vis-à-vis des étrangers.	The breed standard describes the dog as having a strong temperament and sharp individuality, distrustful of strangers.	The breed standard describes the dog as having a strong temperament and strong individuality, wary of strangers.	The breed standard describes the dog as a strong temperament and a sharp individuality, distrustful of strangers.	The breed standard having a strong temperament and sharp individuality, Distrustful of strangers.	The breed as having a strong temperament and strong individuality, wary of strangers.
6210	Dans la nouvelle série TV "Dead Gorgeous", Alexandra Coppinger joua le rôle de la soeur cadette Hazel.	In the new TV-series ''Dead Gorgeous'', Alexandra Coppinger played the role of the youngest sister Hazel.	In the new TV series "Dead Gorgeous", Alexandra Coppinger played the role of younger sister Hazel.	Alexandra Coppinger played the role of Hazel, the youngest sister, in the new TV series ``Dead Gorgeous ''.	In the new ", Alexandra Coppinger played the role of the youngest sister Hazel.	In the dead gorgeous ", Alexandra Coppinger played the role of younger sister Hazel.
115	L'équipe de Loyang a battu l’institution Raffles au premier tour et l'école secondaire Xinmin en quart de finale avant de perdre face à l'institution Hwa Chong en demi-finale.	The Loyang team defeated the Raffles Institution in the opening round and the Xinmin Secondary School in the quarter-finals before losing to the Hwa Chong Institution in the semi-finals.	Loyang team defeated Raffles Institution in the first round and Xinmin High School in the quarter-finals before losing to Hwa Chong Institution in the semi-finals.	Loyang's team defeated Raffles Institution in the opening round and Xinmin Secondary School in the quarter-finals, before losing to Hwa Chong Institution in the semi-finals.	The Loyang team opening round and the Xinmin secondary school in the Quarter-Finals before losing to the Hwa Chong institution in the Semi-Finals.	Loyang team defeated Raffles and Xinmin high school in the Quarter-Finals before losing to Hwa Chong institution in the Semi-Finals.
3169	En janvier 2013, il a été annoncé qu'après la fermeture d Disney Interactive, Warren Spector avait quitté la Junction Point Studios.	In January 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left the Junction Point Studios.	In January 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left Junction Point Studios.	In January 2013, it was announced that Warren Spector had left Junction Point Studios following the closure of Disney Interactive.	Was announced that after the closure of Disney interactive, Warren Spector had left the junction point studios.	In January that after the closure of Disney interactive, Warren Spector had left junction point studios.
6611	Ses feuilles sont disposées de façon alternées le long des branches et sont en forme de lance, d’œuf ou presque circulaires et ont une longue tige.	Its leaves are arranged alternately along the branches and are lance-shaped, egg-shaped or almost circular and have a stalk long.	Its leaves are arranged alternately along the branches and are lance-shaped, egg-shaped or almost circular and have a long stem.	Its leaves are arranged alternately along the branches and are lance-shaped, egg-shaped or almost circular and have a long stem.	Its leaves the branches and are Lance-Shaped, Egg-Shaped or almost circular and have a stalk long.	Its leaves are branches and are Lance-Shaped, Egg-Shaped or almost circular and have a long stem.
3332	Le campus Azusa de l'université Azusa Pacific se trouve à la San Gabriel Valley, au nord est de Los Angeles.	Azusa Pacific University's Azusa Campus is located in San Gabriel Valley, northeast of Los Angeles.	The Azusa campus of Azusa Pacific University is located in the San Gabriel Valley, northeast of Los Angeles.	The Azusa campus of Azusa Pacific University is located in San Gabriel Valley, northeast of Los Angeles.	Azusa campus is located in San Gabriel Valley, northeast of Los Angeles.	The Pacific University is located in the San Gabriel Valley, northeast of Los Angeles.
1732	On dit qu'Easipower était,	It said that Easipower was,	It is said that Easipower was,	It is said that Easipower was,	Said that Easipower was,	Is said that Easipower was,
6240	L'école dispose de salles de classe bien entretenues et d'un corps enseignant intelligent, la plupart des classes sont de bonnes classes.	The school has well maintained classrooms and an intelligent faculty, most of the classes are good classes.	The school has well maintained classrooms and an intelligent teaching staff, most classes are good classes.	The school has well maintained classrooms and smart faculty. Most of the classes are good classes.	The classrooms and an intelligent faculty, most of the classes are good classes.	The school has an intelligent teaching staff, most classes are good classes.
5574	Il dessert la banlieue sud-est d'Edithvale, Melbourne, qui a ouvert le 20 septembre 1919.	It serves the south-eastern Edithvale suburb of Melbourne opening on September 20, 1919.	It serves the south-eastern suburb of Edithvale, Melbourne, which opened on September 20, 1919.	It serves the south-eastern Edithvale suburb of Melbourne opening on 20 September 1919.	It serves suburb of Melbourne opening on September 20, 1919.	It serves Edithvale, Melbourne, which opened on September 20, 1919.
1638	Parmi ceux qui y travaillaient figuraient le professeur Wlodzimierz Zonn, le docteur Jan Gadomski et le professeur Eugeniusz Rybka.	Among those who worked there were professor Wlodzimierz Zonn, doctor Jan Gadomski, and professor Eugeniusz Rybka.	Among those who worked there were Professor Wlodzimierz Zonn, Doctor Jan Gadomski and Professor Eugeniusz Rybka.	Among those who worked there were Professor Eugeniusz Rybka, Dr. Jan Gadomski and Professor Wlodzimierz Zonn.	Among those who Wlodzimierz Zonn, doctor JAN Gadomski, and professor Eugeniusz Rybka.	Among those professor Wlodzimierz Zonn, doctor JAN Gadomski and professor Eugeniusz Rybka.
150	Il faisait partie du canton de Hanover, puis du canton de Chatham, avant d'être enregistré en 1899 sous le nom de Florham Park.	It was part of the Hanover Township, then Chatham Township, before being recorded in 1899 as Florham Park.	It was part of Hanover Township, then Chatham Township, before being registered in 1899 as Florham Park.	It was part of Hanover Township, then Chatham Township before being incorporated as Florham Park in 1899.	The Hanover Township, then Chatham Township, before being recorded in 1899 as Florham park.	It Township, then Chatham Township, before being registered in 1899 as Florham park.
3735	La circonscription française du Finistère est une 1ère circonscription dans le département du Finistère.	The French constituency of Finistère is a 1st constituency in the Finistère ``département ''.	The French constituency of Finistère is a 1st constituency in the department of Finistère.	The French legislative constituency of Finistère is a 1st constituency in the Finistère ``département ''.	The Finistère is a 1ST constituency in the Finistère "Département ".	Of Finistère is a 1ST constituency in the Department of Finistère.
747	On ne sait pas s'il est efficace contre d'autres êtres surnaturels, bien qu'il soit inutile contre les anges.	It is unknown whether it is effective against other supernatural beings, although it is useless against angels.	It is unknown if it is effective against other supernatural beings, although it is useless against Angels.	It is unknown if it is effective against other supernatural beings, although it is useless against angels.	It is effective against other supernatural beings, although it is useless against angels.	It is effective against other supernatural beings, although it is useless against angels.
617	Le nombre d'incendies signalés au début de février était de 73 dont 26 étaient hors de contrôle et le temps prévu pour contrôler pour être un autre mois d'incendies.	The number of fires reported at the beginning of February was 73 with 26 out of control and expected time to control in order to be another month of fires.	The number of fires reported in early February was 73 of which 26 were out of control and the expected time to control to be another month of fires.	The number of reported fires in early February was out of control at 73 with 26 and expected time to control another month of fire.	The number of February was 73 with 26 out of control and expected time to control in order to be another month of fires.	The February was 73 of which 26 were out of control and the expected time to control to be another month of fires.
5535	Thornwood Common est un village situé sur la route B1393, dans la paroisse civile de North Weald Bassett et le district forestier d'Epping dans l'Essex, Angleterre.	Thornwood Common is a village on the B1393 road, in the civil parish of North Weald Bassett and the Epping Forest district of Essex, England.	Thornwood Common is a village on the B1393 road in the civil parish of North Weald Bassett and the Epping Forest District in Essex, England.	Thornwood Common is a village on the B1393 road, in the commune of North Weald Bassett and the Epping Forest district of Essex, England.	The B1393 road, in the civil parish of North Weald Bassett and the Epping forest District of Essex, England.	Thornwood common is a in the civil parish of North Weald Bassett and the Epping forest district in Essex, England.
796	Il a discuté des plus importantes communautés productrices d'art et illustré le travail de 23 des artistes les plus connus.	It discussed the most important art producing communities and illustrated the work of 23 of the best known artists.	He discussed the most important art-producing communities and illustrated the work of 23 of the most well-known artists.	It discussed the major art producing communities and illustrated the work of 23 of the best known artists.	Important art producing communities and illustrated the work of 23 of the best known artists.	Important Art-Producing communities and illustrated the work of 23 of the most well-known artists.
1379	La Canal Street a été ouverte en 1790 et la rue a été nommée Oxford Canal aux alentours de 1870.	The Canal Street was opened in 1790 and the street was named Oxford Canal around 1870.	Canal Street was opened in 1790 and the street was named Oxford Canal around 1870.	Canal Street was opened in 1790 and the street was named after the 1870 Oxford Canal.	The opened in 1790 and the street was named Oxford Canal around 1870.	Opened in 1790 and the street was named Oxford Canal around 1870.
3247	Toutes les commémorations célébrées le 5 juin sont fixées par les églises orthodoxes par rapport à l'ancien calendrier.	All celebrated commemorations down on June 5 fixed by Orthodox churches on the old calendar.	All commemorations celebrated on June 5 are fixed by the Orthodox churches in relation to the old calendar.	All celebrated commemorations below fixed on June 5 by Orthodox Churches on the Old Calendar.	All celebrated June 5 fixed by orthodox churches on the old calendar.	All 5 are fixed by the orthodox churches in relation to the old calendar.
4396	La rencontre est interrompue par l'arrivée de divers messagers de divers Mardukans puissants ou influents de la ville avec de nombreuses invitations à dîner pour le prince.	The meeting is interrupted by the arrival of various messengers from various powerful or influential Mardukans in the city with many dinner invitations for the Prince.	The meeting is interrupted by the arrival of various messengers from various powerful or influential Mardukans in the city with numerous dinner invitations for the prince.	The meeting is interrupted by the arrival of various messengers from various powerful or influential Mardukans in the city with many invitations for dinner for the Prince.	The arrival of various Messengers from various powerful or influential Mardukans in the city with many dinner invitations for the Prince.	The meeting of various Messengers from various powerful or influential Mardukans in the city with numerous dinner invitations for the Prince.
5314	Jusqu'à l’avènement de la technologie électronique et vidéo numérique, la production en série de films pornographiques était directement liée à l'industrie cinématographique grand public.	Until the advent of electronic and digital video technology, the mass production of pornographic films was tied directly to the mainstream film industry.	Until the advent of electronic and digital video technology, the mass production of pornographic films was directly linked to the mainstream film industry.	Until the advent of electronic and digital video technology, the mass production of pornographic films was directly tied to the main film industry.	Until the advent technology, the mass production of pornographic films was tied directly to the mainstream film industry.	Until Digital Video technology, the mass production of pornographic films was directly linked to the mainstream film industry.
5264	Madu Kalas est un conseil de village et d'union de Jhelum Tehsil dans la province du Punjab au Pakistan. Il fait partie du district de Jhelum.	Madu Kalas is a village and union council of Jhelum Tehsil in the Punjab Province of Pakistan. It is part of Jhelum District.	Madu Kalas is a village and union council in Jhelum Tehsil in the Punjab province of Pakistan. It is part of Jhelum district.	Madu Kalas is a village and union council of Jhelum Tehsil in Pakistan's Punjab province and is part of the Jhelum district.	Madu Kalas is a Jhelum Tehsil in the Punjab province of Pakistan . It is part of Jhelum district.	Madu Kalas is in Jhelum Tehsil in the Punjab province of Pakistan . It is part of Jhelum district.
4955	Le 3 Octobre : Phil Tufnell a battu James Hewitt (en gagnant avec un double 1).	3 October: Phil Tufnell defeated James Hewitt (winning Dart Double 1)	October 3: Phil Tufnell defeated James Hewitt (winning with a double 1).	3 October: Phil Tufnell beat James Hewitt (winning dart double 1)	Phil Tufnell defeated James Hewitt (winning Dart double 1)	Phil Tufnell defeated James Hewitt (winning with a double 1).
4134	Le quatrième était dû à la démission de Thomas Kittera, quelque temps après mai 1826, occupé par Joseph Hemphill.	The fourth was in the caused by the resignation of Thomas Kittera sometime after May, 1826, filled by Joseph Hemphill.	The fourth was due to the resignation of Thomas Kittera, sometime after May 1826, occupied by Joseph Hemphill.	The fourth was filled by the resignation of Thomas Kittera sometime after May 1826 by Joseph Hemphill.	Caused by the resignation of Thomas Kittera sometime after may, 1826, filled by Joseph Hemphill.	The fourth resignation of Thomas Kittera, sometime after may 1826, occupied by Joseph Hemphill.
6263	Armando Santiago (né le 18 juin 1932) est un compositeur canadien, chef d'orchestre, professeur de musique et administrateur universitaire d'origine portugaise.	Armando Santiago (born 18 June 1932) is a Canadian composer, conductor, music educator, and university administrator of Portuguese birth.	Armando Santiago (born June 18, 1932) is a Portuguese-born Canadian composer, conductor, music teacher and university administrator.	Armando Santiago (born June 18, 1932) is a Canadian composer, conductor, music educator and university administrator of Portuguese descent.	June 1932) is a Canadian composer, conductor, music educator, and university administrator of Portuguese birth.	Armando Santiago () is a Portuguese-Born Canadian composer, conductor, music teacher and university administrator.
3044	En utilisant les hypothèses analytiques, le linguiste peut former de nouvelles phrases et créer un manuel de traduction.	Using the analytical hypotheses the linguist can form new sentences and create a translation manual.	Using the analytical hypotheses, the linguist can form new sentences and create a translation manual.	The linguist can use the analytical hypotheses to form new sentences and create a translation manual.	Using the linguist can form new sentences and create a translation manual.	Hypotheses, the linguist can form new sentences and create a translation manual.
7237	La NVIDIA TITAN V a été officiellement annoncée par Nvidia le 7 décembre 2017.	The NVIDIA TITAN V was officially announced by Nvidia on 7 December 2017.	The NVIDIA TITAN V was officially announced by Nvidia on December 7, 2017.	NVIDIA officially announced the Nvidia TITAN V on December 7, 2017.	The was officially announced by Nvidia on 7 December 2017.	V was officially announced by Nvidia on December 7, 2017.
1739	C'était le premier des trois hôtels trois étoiles à être construits dans le quartier central d'affaires.	This was the first of three third-class hotels to be built in the central business district.	It was the first of three three-star hotels to be built in the central business district.	This was the first of three third-class hotels built in the central business district.	First of three Third-Class hotels to be built in the central business district.	It was three Three-Star hotels to be built in the central business district.
5066	Le 29 juillet 1791, Sarah a épousé Lea Thomas Wright Hill (1765 - 1842) à l'église Saint-Martin de Birmingham et a eu 8 enfants.	On July 29, 1791, Sarah married Lea Thomas Wright Hill (1765 -- 1842) at St. Martin's Church in Birmingham and had 8 children.	On July 29, 1791, Sarah married Lea Thomas Wright Hill (1765 – 1842) at St. Martin's Church, Birmingham and had 8 children.	Sarah Lea married Thomas Wright Hill (1765 -- 1842) on 29 July, 1791, at St Martin's Church, Birmingham and had 8 children.	Sarah married Lea Thomas Wright Hill (1765--1842) at St. Martin's church in Birmingham and had 8 children.	On married Lea Thomas Wright Hill (1765 – 1842) at St. Martin's church, Birmingham and had 8 children.
2825	En 1974, la RDP Lao a créé le fonds de phase II avec le soutien de la Banque mondiale, des Nations Unies et de la Banque asiatique de développement.	In 1974 Lao PDR established the Stage II fund with the help of the World Bank, the United Nations, and the Asian Development Bank.	In 1974, Lao PDR established the Phase II fund with support from the World Bank, United Nations and Asian Development Bank.	In 1974, with the support of the World Bank, the United Nations, and the Asian Development Bank, Lao PDR founded the Stage II Fund.	The stage II fund with the help of the World Bank, the United Nations, and the Asian Development Bank.	Established the phase II fund with support from the World Bank, United Nations and Asian Development Bank.
1247	Le morceau " Astrud " de l'album de 1987 de Basia Trzetrzelewska " Time and Tide " est un hommage à Gilberto.	The ``Astrud ''track on Basia Trzetrzelewska's 1987 album,`` Time and Tide'', is a tribute to Gilberto.	The track "Astrud" from Basia Trzetrzelewska's 1987 album "Time and Tide" is a tribute to Gilberto.	The ``Astrud ''track on Basia Trzetrzelewska's album`` Time and Tide'' of 1987 is a tribute to Gilberto.	On Basia Trzetrzelewska's 1987 album, "time and tide ", is a tribute to Gilberto.	The track Basia Trzetrzelewska's 1987 album "time and tide "is a tribute to Gilberto.
1666	Il apprend que son corps porte le Shinra Banshou, un parchemin qui contient l'art secret le plus puissant du monde ninja de Nabari.	He learns that his body wears the Shinra Banshou, a scroll that contains the most powerful secret art in the Ninja world of Nabari.	He learns that his body carries the Shinra Banshou, a scroll that contains the most powerful secret art in the ninja world of Nabari.	He learns that his body holds the Shinra Banshou, a scroll that bears the most powerful secret art in the Ninja world of Nabari.	He learns Shinra Banshou, a Scroll that contains the most powerful secret art in the Ninja world of Nabari.	He learns that his, a Scroll that contains the most powerful secret art in the Ninja world of Nabari.
2149	Sir Thomas Dutton (1er août 1421 -- 23 Septembre 1459) était un chevalier anglais du Moyen Âge. Il était le fils de Sir John Dutton et de Margaret Savage.	Sir Thomas Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (August 1, 1421 – September 23, 1459) was an English medieval knight. He was the son of Sir John Dutton and Margaret Savage.	Sir Thomas Dutton (August 1, 1421 - September 23, 1459) was an English medieval knight who was the son of Sir John Dutton and Margaret Savage.	Sir Thomas 23 September 1459) was a medieval English knight . He was the son of Sir John Dutton and Margaret savage	, 1421 – September 23, 1459) was an English medieval knight . He was the son of Sir John Dutton and Margaret savage.
5331	Son père est mort dans sa jeunesse et sa mère, Catherine A. Fagan, a épousé Samuel Adams en 1842, qui est devenu gouverneur de l'Arkansas deux ans plus tard.	His father died during his youth and his mother, Catherine A. Fagan, in 1842 married Samuel Adams, who became Governor of Arkansas two years later.	His father died in his youth, and his mother, Catherine A. Fagan, married Samuel Adams in 1842, who became governor of Arkansas two years later.	His father died in his youth, and his mother, Catherine A. Fagan, married Samuel Adams in 1842, who two years later became the governor of Arkansas.	His father died, Catherine A. Fagan, in 1842 married Samuel Adams, who became governor of Arkansas two years later.	His and his mother, Catherine A. Fagan, married Samuel Adams in 1842, who became governor of Arkansas two years later.
3679	L'éclairage de la peinture du Louvre est plus doux et semble plus chaleureux mais cela peut être dû à la teinte du vernis sur la surface.	The lighting in the Louvre - painting is softer and seems warmer, but this can be the result of the tone of the varnish on the surface.	The lighting in the Louvre painting is softer and seems warmer but this may be due to the tint of the varnish on the surface.	The lighting in the Louvre painting is softer and appears warmer, but this may be the result of the tone of the varnish on the surface.	Painting is softer and seems warmer, but this can be the result of the tone of the varnish on the surface.	The is softer and seems warmer but this may be due to the tint of the varnish on the surface.
5407	En May, Spencer McLaren est arrivé en tant que Kieran Fletcher, un intérêt amoureux pour le personnage établi de Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Fletcher, a love interest for the established character Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Fletcher, a love interest for established character Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Fletcher, a love interest for established character Sally Fletcher (Kate Ritchie).	In May, Fletcher, a love interest for the established character Sally Fletcher (Kate Ritchie).	In May Kieran Fletcher, a love interest for established character Sally Fletcher (Kate Ritchie).
4206	Le campus était situé à Wan Chai et Sai Kung et a été transféré vers son nouveau site de Kennedy Town en août 2013.	The campus was located in Wan Chai and Sai Kung and moved to its new site in Kennedy Town in August 2013.	The campus was located in Wan Chai and Sai Kung and moved to its new location in Kennedy Town in August 2013.	The campus was located in Wan Chai and Sai Kung. In August 2013 the school moved to its new permanent site in Kennedy Town.	The campus and Sai Kung and moved to its new site in Kennedy town in August 2013.	The campus and Sai Kung and moved to its new location in Kennedy town in August 2013.
3829	Une analyse comparant des millions de clés publiques RSA recueillies sur Internet a été annoncée en 2012 par Augier, Hughes, Lenstra , Bos, Kleinjung et Wachter.	An analysis comparing millions of RSA public keys gathered from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.	An analysis comparing millions of RSA public keys collected from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.	An analysis of millions of public RSA keys collected from the Internet was announced by Lenstra, Hughes, Augier, Bos, Kleinjung and Wachter in 2012.	An Keys gathered from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.	An analysis comparing millions the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.
3409	Elle était considérée comme " ayant un grand potentiel et un grand talent qui se développera dans le futur en une personnalité musicale unique.	She was observed as ''has a very great potential and great talent and will grow in the future to a unique musical personality.	She was considered to "have great potential and talent that will develop into a unique musical personality in the future.	She was observed as ``has a very great potential and a huge talent and will grow to an unique musical personality in future ''.	She a very great potential and great talent and will grow in the future to a unique musical personality.	She was considered potential and talent that will develop into a unique musical personality in the future.
7032	Avec une première inscription au Nigerian Stock Exchange, c'est la première société africaine à avoir une liste d'entrée transfrontalière au Johannesburg Stock Exchange.	With a primary listing on the Nigerian Stock Exchange, it's the first African company to have a cross-border inward listing on the Johannesburg Stock Exchange.	With an initial listing on the Nigerian Stock Exchange, it is the first African company to have a cross-border entry listing on the Johannesburg Stock Exchange.	With a primary listing on the Nigerian stock exchange, it is the first African company to have a cross-border - Inward quotation on the Johannesburg Stock Exchange.	Nigerian stock exchange, it's the first African company to have a cross-border inward listing on the Johannesburg stock exchange.	With an initial listing it is the first African company to have a cross-border entry listing on the Johannesburg stock exchange.
1370	Bellman est mort le  8 décembre 1931 à Louisville et est enterré au cimetière de Calvary à Louisville, dans le Kentucky.	Bellman died on December 8, 1931 in Louisville and is interred at Calvary Cemetery in Louisville, Kentucky.	Bellman died on December 8, 1931 in Louisville and is buried in Calvary Cemetery in Louisville, Kentucky.	Bellman died in Louisville on December 8, 1931, and is buried at the Calvary Cemetery in Louisville, Kentucky.	Bellman died 1931 in Louisville and is interred at Calvary cemetery in Louisville, Kentucky.	Bellman died on in Louisville and is buried in Calvary cemetery in Louisville, Kentucky.
6367	" Hymenaea stiginocarpa " se trouve dans le nord, le centre et l'est du Paraguay et au Brésil.	``Hymenaea stiginocarpa ''occurs in northern, central and eastern Paraguay and in Brazil.	"Hymenaea stiginocarpa" is found in N, C and E Paraguay and Brazil.	``Hymenaea stiginocarpa ''comes in northern, central and eastern Paraguay and in Brazil.	"occurs in northern, central and Eastern Paraguay and in Brazil.	"is found in N, C and E Paraguay and Brazil.
4927	Après être retourné à Paramaribo en 1954, il s'est installé au Suriname en tant qu'avocat.	After returning to Paramaribo in 1954, he settled in Surinam as a lawyer.	After returning to Paramaribo in 1954, he settled in Suriname as a lawyer.	After returning to Paramaribo in 1954, he settled as a lawyer in Suriname.	After in 1954, he settled in Surinam as a lawyer.	Paramaribo in 1954, he settled in Suriname as a lawyer.
5482	Le plus jeune frère de Thompson, Julia, est né à Charles Martin Hall, comté de Geauga, Ohio en 1863.	The younger brother of Thompson, Julia, was born in Charles Martin Hall, Geauga County, Ohio in 1863.	Thompson's younger brother, Julia, was born in Charles Martin Hall, Geauga County, Ohio in 1863.	Thompson's younger brother, Julia, was born in 1863 in Charles Martin Hall, Geauga County, Ohio.	The younger Julia, was born in Charles Martin hall, Geauga County, Ohio in 1863.	Thompson Julia, was born in Charles Martin hall, Geauga County, Ohio in 1863.
6300	Le pionnier suisse John Sutter (1803 - 1880) est arrivé en Haute-Californie en août 1839 avec d'autres colons euro-américains.	The Swiss pioneer John Sutter (1803 - 1880) arrived in Alta California in August 1839 together with other euro-American settlers.	Swiss pioneer John Sutter (1803 - 1880) arrived in Alta California in August 1839 along with other Euro-American settlers.	The Swiss pioneer John Sutter (1803 -- 1880) arrived in Alta California with other Euro-American settlers in August 1839.	(1803 - 1880) arrived in Alta California in August 1839 together with other Euro-American settlers.	Swiss 1803 - 1880) arrived in Alta California in August 1839 along with other Euro-American settlers.
1763	En 2014, le site a lancé des applications iOS et Android pour la recherche de produit ; les fonctionnalités de produit comprennent des évaluations de produit interactives en vidéo avec des sessions de questions-réponses en direct.	In 2014 the site launched iOS and Android applications for product search; product features include interactive video product reviews with live question-and-answer sessions.	In 2014, the site launched iOS and Android apps for product research; product features include interactive video product reviews with live Q&A sessions.	In 2014, the site launched iOS and Android applications for product search, product features include interactive video - product - reviews with live - questions and answers - sessions.	Ios and Android applications for product search; product features include interactive Video product reviews with live question-and-answer sessions.	Ios and Android Apps for product research; product features include interactive Video product reviews with live Q & a sessions.
4067	Cela a élargi la zone de conflit entre Rhode Island et la province du Massachusetts.	This enlarged the area of conflict between Rhode Island and the Province of Massachusetts.	This widened the area of ​​conflict between Rhode Island and the Province of Massachusetts.	This widened the area of conflict between Rhode Island and the province of Massachusetts.	Area of conflict between Rhode Island and the province of Massachusetts.	This of ​​Conflict between Rhode Island and the province of Massachusetts.
4347	En 1933, Cattell écrivit que, de toutes les races européennes, la "race nordique était la plus évoluée en termes d'intelligence et de stabilité de tempérament".	In 1933 Cattell wrote that, of all the European races, the ``Nordic race was the most evolved in intelligence and stability of temperament. ''	In 1933, Cattell wrote that, of all the European races, the "Nordic race was the most evolved in terms of intelligence and stability of temperament".	In 1933, Cattell wrote that, of all European races, the ``Nordic race was the most developed intelligence and stability in temperament.	In 1933 Cattell wrote European races, the "Nordic race was the most evolved in intelligence and stability of temperament . "	In 1933, Cattell European races, the "Nordic race was the most evolved in terms of intelligence and stability of temperament ".
6955	Hoppkorv était le septième album du groupe américain de rock et de blues Hot Tuna, et leur dernier album a été enregistré en tant que Grunt BFL1-1920 pour Grunt Records.	Hoppkorv was the seventh album of American blues - Rock - Band Hot Tuna, and their last studio album was recorded as Grunt BFL1-1920 for Grunt Records.	Hoppkorv was the seventh album by American rock and blues band Hot Tuna, and their final album was recorded as Grunt BFL1-1920 for Grunt Records.	Hoppkorv was the seventh album by the American blues rock band Hot Tuna, and their last studio album recorded for Grunt Records, as Grunt BFL1-1920.	Hoppkorv blues - rock - band hot Tuna, and their last studio album was recorded as grunt Bfl1-1920 for grunt records.	Hoppkorv was the seventh blues band hot Tuna, and their final album was recorded as grunt Bfl1-1920 for grunt records.
1579	En raison de ces mécanismes peu fiables, les protocoles de transport transactionnel tels que le protocole UDP (User Datagram Protocol) suffisent pour le fonctionnement SIP.	Because of these unreliable mechanisms, transactional transport protocols such as the User Datagram Protocol (UDP), are sufficient for SIP operation.	Due to these unreliable mechanisms, transactional transport protocols such as User Datagram Protocol (UDP) are sufficient for SIP operation.	Because of these unreliable mechanisms, transaction protocols such as the User Datagram Protocol (UDP) for SIP operation are sufficient.	Because Transactional transport protocols such as the user Datagram protocol (Udp), are sufficient for sip operation.	Due to these protocols such as user Datagram protocol (Udp) are sufficient for sip operation.
6345	Robert Vincent Goldsborough est né le 3 octobre 1937 à Chicago, fils de l'architecte Robert Goldsborough et de Wilma (Janak) Goldsborough.	Robert Vincent Goldsborough was born October 3, 1937, in Chicago, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Robert Vincent Goldsborough was born on October 3, 1937 in Chicago, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Vincent Goldsborough was born in Chicago on October 3, 1937, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Robert 3, 1937, in Chicago, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.	Robert Vincent 3, 1937 in Chicago, the son of architect Robert Goldsborough and Wilma (Janak) Goldsborough.
3944	Andy voit Robert et Katie ensemble et le dit à Daz.	Andy sees Robert and Katie together and tells it Daz.	Andy sees Robert and Katie together and tells Daz.	Andy sees Robert and Katie together and tells Daz.	Robert and Katie together and tells it Daz.	Andy and Katie together and tells Daz.
1075	L'" IPA " se compose de 500 symboles supplémentaires, 300 symboles de base et 200 symboles supplémentaires.	The ``IPA ''consists of 500 supplementary, 300 basic and 200 additional symbols.	The "IPA" consists of 500 additional symbols, 300 base symbols and 200 additional symbols.	The ``IPA ''consists of 500 complementary, 300 basic and 200 supplementary symbols.	"consists of 500 supplementary, 300 basic and 200 additional symbols.	Consists of 500 additional symbols, 300 base symbols and 200 additional symbols.
3863	La sitomanie et les années 1870 ne s'entendaient pas sur le terme d'" anorexie mentale " et ont remplacé le trouble.	Sitomania and 1870s differed with the term ``Anorexia nervosa ''and replaced the disorder.	Sitomania and the 1870s disagreed on the term "anorexia nervosa" and replaced the disorder.	and 1870s distinguished sitomania with the term ``anorexia nervosa ''and replaced the disorder.	Sitomania with the term "anorexia Nervosa "and replaced the disorder.	Sitomania and on the term "anorexia Nervosa "and replaced the disorder.
